"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
2040,"E of England",2,0.053030303030303,3,31.3113404228574
2041,"E of England",2,0,0,0
2042,"E of England",2,0,0,0
2043,"E of England",2,0,0,0
2044,"E of England",2,0.0151515151515152,3,30.2733475367228
2045,"E of England",2,0,0,0
2046,"E of England",2,0.636363636363636,3.82142857142857,32.303764031993
2047,"E of England",2,0,0,0
2048,"E of England",2,0.21969696969697,3,31.2660430710891
2049,"E of England",2,0,0,0
2050,"E of England",2,0,0,0
2051,"E of England",2,0,0,0
2052,"E of England",2,0,0,0
2053,"E of England",2,0,0,0
2054,"E of England",2,0,0,0
2055,"E of England",2,0,0,0
2056,"E of England",2,0.212121212121212,3,33.0264628955296
2057,"E of England",2,0,0,0
2058,"E of England",2,0,0,0
2059,"E of England",2,0,0,0
2060,"E of England",2,0,0,0
2061,"E of England",2,0.0303030303030303,3.25,30.7490061720212
2062,"E of England",2,0.0151515151515152,3,31.0175536473592
2063,"E of England",2,0.0303030303030303,4.5,33.905753660202
2064,"E of England",2,0.00757575757575758,3,30.7021436691284
2065,"E of England",2,0.0606060606060606,3,31.7656182845434
2066,"E of England",2,0,0,0
2067,"E of England",2,0.181818181818182,3,32.0901645951801
2068,"E of England",2,0.0303030303030303,3,32.3618842760722
2069,"E of England",2,0,0,0
2070,"E of England",2,0,0,0
2071,"E of England",2,1.03030303030303,3,33.0631314399196
2072,"E of England",2,0,0,0
2073,"E of England",2,0,0,0
2074,"E of England",2,0,0,0
2075,"E of England",2,0,0,0
2076,"E of England",2,0,0,0
2077,"E of England",2,0.848484848484849,4.16964285714286,31.7574691096942
2078,"E of England",2,0,0,0
2079,"E of England",2,0,0,0
2080,"E of England",2,0,0,0
1980,"E Scotland",3,0,0,0
1981,"E Scotland",3,0,0,0
1982,"E Scotland",3,0,0,0
1983,"E Scotland",3,0,0,0
1984,"E Scotland",3,0,0,0
1985,"E Scotland",3,0,0,0
1986,"E Scotland",3,0,0,0
1987,"E Scotland",3,0,0,0
1988,"E Scotland",3,0,0,0
1989,"E Scotland",3,0,0,0
1990,"E Scotland",3,0,0,0
1991,"E Scotland",3,0,0,0
1992,"E Scotland",3,0,0,0
1993,"E Scotland",3,0,0,0
1994,"E Scotland",3,0,0,0
1995,"E Scotland",3,0,0,0
1996,"E Scotland",3,0,0,0
1997,"E Scotland",3,0,0,0
1998,"E Scotland",3,0,0,0
1999,"E Scotland",3,0,0,0
2000,"E Scotland",3,0,0,0
2001,"E Scotland",3,0.389221556886228,3.04615384615385,30.1546624464866
2002,"E Scotland",3,0,0,0
2003,"E Scotland",3,0,0,0
2004,"E Scotland",3,0,0,0
2005,"E Scotland",3,0,0,0
2006,"E Scotland",3,0,0,0
2007,"E Scotland",3,0,0,0
2008,"E Scotland",3,0,0,0
2009,"E Scotland",3,0,0,0
2010,"E Scotland",3,0,0,0
2011,"E Scotland",3,0,0,0
2012,"E Scotland",3,0,0,0
2013,"E Scotland",3,0,0,0
2014,"E Scotland",3,0,0,0
2015,"E Scotland",3,0,0,0
2016,"E Scotland",3,0,0,0
2017,"E Scotland",3,0,0,0
2018,"E Scotland",3,0,0,0
2019,"E Scotland",3,0,0,0
2020,"E Scotland",3,0,0,0
2021,"E Scotland",3,0,0,0
2022,"E Scotland",3,0,0,0
2023,"E Scotland",3,0,0,0
2024,"E Scotland",3,0,0,0
2025,"E Scotland",3,0,0,0
2026,"E Scotland",3,0,0,0
2027,"E Scotland",3,0.29940119760479,4.86,30.1841940251078
2028,"E Scotland",3,0,0,0
2029,"E Scotland",3,0,0,0
2030,"E Scotland",3,0,0,0
2031,"E Scotland",3,0,0,0
2032,"E Scotland",3,0,0,0
2033,"E Scotland",3,0,0,0
2034,"E Scotland",3,0,0,0
2035,"E Scotland",3,0,0,0
2036,"E Scotland",3,0,0,0
2037,"E Scotland",3,0,0,0
2038,"E Scotland",3,0,0,0
2039,"E Scotland",3,0,0,0
2040,"E Scotland",3,0,0,0
2041,"E Scotland",3,0,0,0
2042,"E Scotland",3,0,0,0
2043,"E Scotland",3,0,0,0
2044,"E Scotland",3,0,0,0
2045,"E Scotland",3,0,0,0
2046,"E Scotland",3,0,0,0
2047,"E Scotland",3,0,0,0
2048,"E Scotland",3,0,0,0
2049,"E Scotland",3,0,0,0
2050,"E Scotland",3,0,0,0
2051,"E Scotland",3,0,0,0
2052,"E Scotland",3,0,0,0
2053,"E Scotland",3,0,0,0
2054,"E Scotland",3,0,0,0
2055,"E Scotland",3,0,0,0
2056,"E Scotland",3,0,0,0
2057,"E Scotland",3,0,0,0
2058,"E Scotland",3,0,0,0
2059,"E Scotland",3,0,0,0
2060,"E Scotland",3,0,0,0
2061,"E Scotland",3,0,0,0
2062,"E Scotland",3,0,0,0
2063,"E Scotland",3,0,0,0
2064,"E Scotland",3,0,0,0
2065,"E Scotland",3,0,0,0
2066,"E Scotland",3,0,0,0
2067,"E Scotland",3,0.25748502994012,3.27906976744186,29.8210367990095
2068,"E Scotland",3,0,0,0
2069,"E Scotland",3,0,0,0
2070,"E Scotland",3,0,0,0
2071,"E Scotland",3,0,0,0
2072,"E Scotland",3,0,0,0
2073,"E Scotland",3,0,0,0
2074,"E Scotland",3,0,0,0
2075,"E Scotland",3,0,0,0
2076,"E Scotland",3,0,0,0
2077,"E Scotland",3,0.00598802395209581,3,28.3019695281982
2078,"E Scotland",3,0,0,0
2079,"E Scotland",3,0.179640718562874,3,29.6532455762227
2080,"E Scotland",3,0,0,0
1980,"London",4,0,0,0
1981,"London",4,0,0,0
1982,"London",4,0,0,0
1983,"London",4,0,0,0
1984,"London",4,0,0,0
1985,"London",4,0,0,0
1986,"London",4,0,0,0
1987,"London",4,0,0,0
1988,"London",4,0,0,0
1989,"London",4,0,0,0
1990,"London",4,0,0,0
1991,"London",4,0,0,0
1992,"London",4,0,0,0
1993,"London",4,0,0,0
1994,"London",4,0,0,0
1995,"London",4,0,0,0
1996,"London",4,0,0,0
1997,"London",4,0,0,0
1998,"London",4,0,0,0
1999,"London",4,0,0,0
2000,"London",4,0,0,0
2001,"London",4,1,4.41666666666667,34.4840476645364
2002,"London",4,0,0,0
2003,"London",4,0,0,0
2004,"London",4,0,0,0
2005,"London",4,0,0,0
2006,"London",4,0,0,0
2007,"London",4,0,0,0
2008,"London",4,0,0,0
2009,"London",4,0,0,0
2010,"London",4,0,0,0
2011,"London",4,0,0,0
2012,"London",4,0,0,0
2013,"London",4,0,0,0
2014,"London",4,0,0,0
2015,"London",4,0,0,0
2016,"London",4,0,0,0
2017,"London",4,0,0,0
2018,"London",4,0,0,0
2019,"London",4,0,0,0
2020,"London",4,0,0,0
2021,"London",4,0,0,0
2022,"London",4,0,0,0
2023,"London",4,0,0,0
2024,"London",4,0,0,0
2025,"London",4,0.0833333333333333,3,32.7870394388835
2026,"London",4,0,0,0
2027,"London",4,1,4.66666666666667,34.9194447199504
2028,"London",4,0,0,0
2029,"London",4,0,0,0
2030,"London",4,0.833333333333333,3,34.5299062728882
2031,"London",4,0,0,0
2032,"London",4,0,0,0
2033,"London",4,0.833333333333333,3.8,33.916850678126
2034,"London",4,0,0,0
2035,"London",4,0,0,0
2036,"London",4,0,0,0
2037,"London",4,0,0,0
2038,"London",4,0,0,0
2039,"London",4,0,0,0
2040,"London",4,0,0,0
2041,"London",4,0,0,0
2042,"London",4,0,0,0
2043,"London",4,0,0,0
2044,"London",4,0,0,0
2045,"London",4,0,0,0
2046,"London",4,0.333333333333333,3,33.2268999417623
2047,"London",4,0,0,0
2048,"London",4,0,0,0
2049,"London",4,0,0,0
2050,"London",4,0,0,0
2051,"London",4,0,0,0
2052,"London",4,0,0,0
2053,"London",4,0,0,0
2054,"London",4,0,0,0
2055,"London",4,0,0,0
2056,"London",4,0,0,0
2057,"London",4,0,0,0
2058,"London",4,0,0,0
2059,"London",4,0,0,0
2060,"London",4,0,0,0
2061,"London",4,0,0,0
2062,"London",4,0,0,0
2063,"London",4,0,0,0
2064,"London",4,0,0,0
2065,"London",4,0,0,0
2066,"London",4,0,0,0
2067,"London",4,0,0,0
2068,"London",4,0,0,0
2069,"London",4,0,0,0
2070,"London",4,0,0,0
2071,"London",4,0.916666666666667,3,34.6645733804414
2072,"London",4,0,0,0
2073,"London",4,0,0,0
2074,"London",4,0,0,0
2075,"London",4,0,0,0
2076,"London",4,0,0,0
2077,"London",4,0.75,4,33.3361519707574
2078,"London",4,0,0,0
2079,"London",4,0,0,0
2080,"London",4,0,0,0
1980,"NE England",5,0,0,0
1981,"NE England",5,0,0,0
1982,"NE England",5,0,0,0
1983,"NE England",5,0,0,0
1984,"NE England",5,0,0,0
1985,"NE England",5,0,0,0
1986,"NE England",5,0,0,0
1987,"NE England",5,0,0,0
1988,"NE England",5,0,0,0
1989,"NE England",5,0,0,0
1990,"NE England",5,0,0,0
1991,"NE England",5,0,0,0
1992,"NE England",5,0,0,0
1993,"NE England",5,0,0,0
1994,"NE England",5,0,0,0
1995,"NE England",5,0,0,0
1996,"NE England",5,0,0,0
1997,"NE England",5,0,0,0
1998,"NE England",5,0,0,0
1999,"NE England",5,0,0,0
2000,"NE England",5,0,0,0
2001,"NE England",5,0.838709677419355,3.36538461538462,30.5473150962438
2002,"NE England",5,0,0,0
2003,"NE England",5,0,0,0
2004,"NE England",5,0,0,0
2005,"NE England",5,0,0,0
2006,"NE England",5,0,0,0
2007,"NE England",5,0,0,0
2008,"NE England",5,0,0,0
2009,"NE England",5,0,0,0
2010,"NE England",5,0,0,0
2011,"NE England",5,0,0,0
2012,"NE England",5,0,0,0
2013,"NE England",5,0,0,0
2014,"NE England",5,0,0,0
2015,"NE England",5,0,0,0
2016,"NE England",5,0,0,0
2017,"NE England",5,0,0,0
2018,"NE England",5,0,0,0
2019,"NE England",5,0.0645161290322581,3.5,29.2849398255348
2020,"NE England",5,0,0,0
2021,"NE England",5,0,0,0
2022,"NE England",5,0,0,0
2023,"NE England",5,0,0,0
2024,"NE England",5,0,0,0
2025,"NE England",5,0,0,0
2026,"NE England",5,0,0,0
2027,"NE England",5,0.838709677419355,4.55769230769231,30.2022770148057
2028,"NE England",5,0,0,0
2029,"NE England",5,0,0,0
2030,"NE England",5,0,0,0
2031,"NE England",5,0,0,0
2032,"NE England",5,0,0,0
2033,"NE England",5,0,0,0
2034,"NE England",5,0,0,0
2035,"NE England",5,0,0,0
2036,"NE England",5,0,0,0
2037,"NE England",5,0,0,0
2038,"NE England",5,0,0,0
2039,"NE England",5,0,0,0
2040,"NE England",5,0,0,0
2041,"NE England",5,0,0,0
2042,"NE England",5,0,0,0
2043,"NE England",5,0,0,0
2044,"NE England",5,0,0,0
2045,"NE England",5,0,0,0
2046,"NE England",5,0,0,0
2047,"NE England",5,0,0,0
2048,"NE England",5,0.0161290322580645,3,28.5488799413045
2049,"NE England",5,0,0,0
2050,"NE England",5,0,0,0
2051,"NE England",5,0,0,0
2052,"NE England",5,0,0,0
2053,"NE England",5,0,0,0
2054,"NE England",5,0,0,0
2055,"NE England",5,0,0,0
2056,"NE England",5,0,0,0
2057,"NE England",5,0,0,0
2058,"NE England",5,0,0,0
2059,"NE England",5,0,0,0
2060,"NE England",5,0,0,0
2061,"NE England",5,0.0483870967741935,3,30.1081505881416
2062,"NE England",5,0,0,0
2063,"NE England",5,0,0,0
2064,"NE England",5,0,0,0
2065,"NE England",5,0,0,0
2066,"NE England",5,0,0,0
2067,"NE England",5,0.17741935483871,3,29.2528685656461
2068,"NE England",5,0,0,0
2069,"NE England",5,0,0,0
2070,"NE England",5,0,0,0
2071,"NE England",5,0,0,0
2072,"NE England",5,0,0,0
2073,"NE England",5,0,0,0
2074,"NE England",5,0,0,0
2075,"NE England",5,0,0,0
2076,"NE England",5,0,0,0
2077,"NE England",5,0.0483870967741935,3.66666666666667,29.8391011026171
2078,"NE England",5,0,0,0
2079,"NE England",5,0.274193548387097,3,29.4104971979179
2080,"NE England",5,0,0,0
1980,"N Scotland",6,0,0,0
1981,"N Scotland",6,0,0,0
1982,"N Scotland",6,0,0,0
1983,"N Scotland",6,0,0,0
1984,"N Scotland",6,0,0,0
1985,"N Scotland",6,0,0,0
1986,"N Scotland",6,0,0,0
1987,"N Scotland",6,0,0,0
1988,"N Scotland",6,0,0,0
1989,"N Scotland",6,0,0,0
1990,"N Scotland",6,0,0,0
1991,"N Scotland",6,0,0,0
1992,"N Scotland",6,0,0,0
1993,"N Scotland",6,0,0,0
1994,"N Scotland",6,0,0,0
1995,"N Scotland",6,0,0,0
1996,"N Scotland",6,0,0,0
1997,"N Scotland",6,0,0,0
1998,"N Scotland",6,0,0,0
1999,"N Scotland",6,0,0,0
2000,"N Scotland",6,0,0,0
2001,"N Scotland",6,0.111627906976744,3.25,29.8726586931282
2002,"N Scotland",6,0,0,0
2003,"N Scotland",6,0,0,0
2004,"N Scotland",6,0,0,0
2005,"N Scotland",6,0,0,0
2006,"N Scotland",6,0,0,0
2007,"N Scotland",6,0,0,0
2008,"N Scotland",6,0,0,0
2009,"N Scotland",6,0,0,0
2010,"N Scotland",6,0,0,0
2011,"N Scotland",6,0,0,0
2012,"N Scotland",6,0,0,0
2013,"N Scotland",6,0,0,0
2014,"N Scotland",6,0,0,0
2015,"N Scotland",6,0,0,0
2016,"N Scotland",6,0,0,0
2017,"N Scotland",6,0,0,0
2018,"N Scotland",6,0,0,0
2019,"N Scotland",6,0,0,0
2020,"N Scotland",6,0,0,0
2021,"N Scotland",6,0,0,0
2022,"N Scotland",6,0,0,0
2023,"N Scotland",6,0,0,0
2024,"N Scotland",6,0,0,0
2025,"N Scotland",6,0,0,0
2026,"N Scotland",6,0,0,0
2027,"N Scotland",6,0.293023255813953,3.3015873015873,29.6565531549
2028,"N Scotland",6,0,0,0
2029,"N Scotland",6,0,0,0
2030,"N Scotland",6,0,0,0
2031,"N Scotland",6,0,0,0
2032,"N Scotland",6,0,0,0
2033,"N Scotland",6,0,0,0
2034,"N Scotland",6,0,0,0
2035,"N Scotland",6,0,0,0
2036,"N Scotland",6,0,0,0
2037,"N Scotland",6,0,0,0
2038,"N Scotland",6,0,0,0
2039,"N Scotland",6,0,0,0
2040,"N Scotland",6,0,0,0
2041,"N Scotland",6,0,0,0
2042,"N Scotland",6,0,0,0
2043,"N Scotland",6,0,0,0
2044,"N Scotland",6,0,0,0
2045,"N Scotland",6,0,0,0
2046,"N Scotland",6,0,0,0
2047,"N Scotland",6,0,0,0
2048,"N Scotland",6,0,0,0
2049,"N Scotland",6,0,0,0
2050,"N Scotland",6,0,0,0
2051,"N Scotland",6,0,0,0
2052,"N Scotland",6,0,0,0
2053,"N Scotland",6,0,0,0
2054,"N Scotland",6,0,0,0
2055,"N Scotland",6,0,0,0
2056,"N Scotland",6,0,0,0
2057,"N Scotland",6,0,0,0
2058,"N Scotland",6,0,0,0
2059,"N Scotland",6,0,0,0
2060,"N Scotland",6,0,0,0
2061,"N Scotland",6,0,0,0
2062,"N Scotland",6,0,0,0
2063,"N Scotland",6,0,0,0
2064,"N Scotland",6,0,0,0
2065,"N Scotland",6,0,0,0
2066,"N Scotland",6,0,0,0
2067,"N Scotland",6,0.302325581395349,3,30.3233760197957
2068,"N Scotland",6,0,0,0
2069,"N Scotland",6,0,0,0
2070,"N Scotland",6,0,0,0
2071,"N Scotland",6,0,0,0
2072,"N Scotland",6,0,0,0
2073,"N Scotland",6,0,0,0
2074,"N Scotland",6,0,0,0
2075,"N Scotland",6,0,0,0
2076,"N Scotland",6,0,0,0
2077,"N Scotland",6,0.00465116279069767,3,29.030771891276
2078,"N Scotland",6,0,0,0
2079,"N Scotland",6,0.0976744186046512,3,30.2853481050522
2080,"N Scotland",6,0.00930232558139535,3,28.4334650039673
1980,"NW England",7,0,0,0
