Year,Month,Date,UK,E_Midlands,E_of_England,E_Scotland,London,NE_England,N_Scotland,NW_England,SE_England,SW_England,W_Midlands,W_Scotland,Yorks_&_Humber,Channel_Islands,Isle_of_Man,N_Ireland,Wales
1960,1,1960.041667,8.212759767,9.715364221,9.459657864,6.251727111,9.860194469,8.403189241,5.758013787,8.556106984,9.089694117,9.537912731,9.702393193,7.637223917,9.11506308,0,8.585669731,7.682736275,8.611055936
1960,1,1960.041667,4.330246628,6.904890521,7.570206896,1.735149436,8.474736082,3.872544711,0.995514987,4.118514419,7.653859819,7.069636665,6.548645671,1.509094465,6.119615832,0,1.976112745,-0.748000229,5.3292841
1960,1,1960.041667,0.6394786,1.697875053,1.899989688,-1.271965834,2.228776961,0.664626651,-0.365996553,1.512323212,0.82823504,0.871280366,1.688734487,-0.062945544,1.521833492,0,1.082949939,-1.094872042,1.558173198
1960,1,1960.041667,-1.32764097,-0.362212098,-1.43432454,-2.824801283,-0.427309526,-2.02773218,-2.703914182,-2.008629543,-1.122121254,0.56302989,-1.465013179,-0.259511045,-1.945904787,0,0.98416725,-1.440476857,-0.624197234
1960,1,1960.041667,-0.947580276,0.093677898,-0.324035525,-3.646585861,1.096376875,-2.455928506,-3.91285407,-1.966729454,0.032058655,2.184105914,-0.435863228,-0.993755191,-1.623969735,0,2.0503442,0.755838479,0.411035315
1960,1,1960.041667,0.622782242,1.995726188,2.507879382,-1.462246597,3.121553176,-0.259691803,-2.105290847,-0.122644367,2.587078662,2.158992762,0.758298343,-0.272416721,1.157911391,0,1.921258168,1.741889131,0.668571858
1960,1,1960.041667,0.095964963,0.839843049,1.606721811,-0.362131821,1.733470728,0.117722429,-0.360124193,0.287502158,1.207963375,0.926374339,0.503296249,-1.344886768,0.641427546,0,-0.240829439,-3.213055951,0.197489324
1960,1,1960.041667,0.647881351,1.450862722,2.453193214,-0.822511293,2.780497201,-0.094007382,-1.905788029,0.510282886,2.469397386,2.677007846,1.642366691,-0.618300643,0.142041672,0,0.395999821,-0.178610575,1.706655463
1960,1,1960.041667,3.254375635,3.603003993,5.561337163,-0.748178162,6.406740665,-0.0157245,-0.729600079,1.983031762,6.804770214,7.599954097,6.27735299,0.302273476,0.590431864,0,4.136600356,5.72533797,6.449104988
1960,2,1960.125,3.700343284,3.412693278,2.118075813,2.373514365,3.087982674,3.367117377,2.49352692,4.73287845,2.888978686,5.291509162,4.647104547,4.44231611,3.49910138,0,6.265911894,4.46745617,5.137361132
1960,2,1960.125,3.369498233,2.77970499,2.729737282,2.277159289,3.624923317,2.42962574,2.401295508,3.434521221,3.010053131,4.795725669,2.965152068,3.885328815,2.762211781,0,5.333627764,5.460628572,4.274326011
1960,2,1960.125,6.243182118,6.365173133,5.905669324,4.311326805,7.849766704,5.011161123,3.377672178,7.100119284,7.571570564,8.665463056,7.967334608,6.068870388,5.397992461,0,7.640679519,7.242655303,7.81404348
1960,2,1960.125,4.417554991,4.077227199,4.831519024,4.105358153,5.481353674,4.332904374,3.762492303,4.809009342,4.852481813,4.878648064,4.671602884,4.558195381,4.279354952,0,5.701018923,4.014859593,4.304379068
1960,2,1960.125,1.017515318,0.338700962,0.255573366,0.334503359,1.335066078,1.303534874,0.946598267,2.059276622,0.552330362,1.355146892,0.97768695,1.681353998,1.474134013,0,2.412127108,0.18266324,1.58409191
1960,2,1960.125,-1.247577141,-0.646589795,-0.966355963,-1.753922173,-0.478659733,-1.508093462,-1.383066691,-1.822474526,-1.270220763,-0.481146742,-0.443619324,-2.159584137,-0.593325232,0,-0.843782391,-2.883978784,-0.93312897
1960,2,1960.125,-0.372788675,1.25005513,0.920428629,-1.97245079,1.345179606,-0.283867625,-2.350783375,-0.789853224,0.835504348,0.786518152,0.517274981,-1.668520883,1.261188009,0,-0.622393843,-2.351697299,0.358715841
1960,2,1960.125,-2.535664404,-2.679977025,-2.333500794,-3.764879334,-1.721269619,-1.120545427,-3.039676187,-2.499780149,-2.47253875,-2.381680279,-2.731247863,-2.931527549,-1.670178874,0,0.932500067,-2.032374159,-2.557543984
1960,2,1960.125,-1.363887785,-0.441203928,0.361012285,-3.932922137,0.92016898,-0.516137311,-1.38686979,-1.686045301,-0.322750971,-1.007958846,-1.038708942,-3.463728622,-0.006310467,0,-0.938345719,-2.154470671,-1.570344994
1960,2,1960.125,0.405212325,1.423848338,2.344026238,-1.981136157,2.689630798,-0.182677021,0.328636872,-0.624745994,1.666436606,1.181484786,1.354358797,-2.269314425,0.974304096,0,-0.525303961,0.35861179,0.717883802
1960,2,1960.125,-1.368042606,-0.262965889,0.514891707,-3.475370155,1.488612865,-2.05331572,-3.114340691,-0.950973979,0.826033647,0.072910464,-0.532458803,-3.21509648,-0.660128081,0,-0.738398701,-2.60932393,-1.074541265
1960,2,1960.125,-2.11648056,-0.237820498,-0.063027065,-5.134275853,0.442513227,-3.232694775,-4.609860709,-1.165876752,-0.473570632,-0.277626738,-0.434548887,-4.401681278,-0.877045588,0,-0.704952569,-3.553606106,-0.880876472
1960,2,1960.125,-3.61594599,-1.98024779,0.283263713,-6.861564804,0.658317407,-3.562060231,-8.851661247,-3.0328419,-0.386391209,-1.140180563,-2.744875653,-4.767013697,-2.454977217,0,-1.860139584,-4.450151441,-3.051128849
1960,2,1960.125,-4.467546184,-2.767417769,-0.234518312,-9.172006096,0.654343941,-7.26967316,-7.85016537,-5.221978753,-0.076081522,-1.282101563,-3.016751449,-6.90889136,-4.416820883,0,-3.811973363,-5.053336765,-3.930930645
1960,2,1960.125,-3.269064757,-3.824652559,-2.29618128,-4.368804433,-1.238990219,-6.323383703,-3.465343029,-4.11584826,-2.321079144,-2.042787143,-3.238997403,-3.381288339,-4.287570499,0,-1.991996852,-2.733679243,-2.816235873
1960,2,1960.125,-2.078441183,-1.74937799,-1.400824415,-2.88590418,-1.246522077,-2.672421508,-2.960794575,-1.283178453,-1.996991458,-1.776013591,-2.138195984,-1.759676857,-1.608494449,0,-0.848369516,-2.853771343,-1.741346359
1960,2,1960.125,-5.414294999,-3.988451324,-3.975447139,-7.831164915,-3.503008606,-7.272268208,-7.519691084,-4.206139791,-4.978717065,-4.80770655,-3.935837231,-6.764164504,-4.284387538,0,-3.367611226,-5.86512587,-3.766158
1960,2,1960.125,-6.505279588,-6.191422074,-5.492150847,-9.948746413,-3.481178585,-8.066618889,-12.86423629,-5.210061737,-4.94193045,-3.901902211,-4.58429748,-5.988629218,-6.09608347,0,-2.967821316,-4.034593216,-3.257808621
1960,2,1960.125,-4.268307782,-1.204500665,-0.906329558,-8.671265406,0.634530479,-4.012942157,-11.90275849,-1.888570673,-1.04789897,-0.334251731,-0.127488969,-7.999740957,-1.819021815,0,-1.512966565,-7.976796496,-0.496765928
1960,2,1960.125,-2.533785645,0.003746931,-0.306643038,-7.318345693,1.705597758,-2.906735826,-9.22849666,-1.107326185,1.069562464,2.004491817,0.863426159,-6.570884807,-0.70207628,0,-0.155736668,-2.8618583,0.126480023
1960,2,1960.125,-1.035678536,0.241413101,0.706623612,-3.475923762,1.846126042,-1.643817815,-4.413549586,0.287519549,1.029576301,0.072206264,0.112758562,-1.793385346,0.158748919,0,0.909708805,-1.762168889,-0.004215607
1960,2,1960.125,-2.343141989,-2.846751908,-1.257449784,-4.328681059,1.060934325,-3.567383967,-4.232988739,-3.077703351,0.189598615,0.963155419,-1.772468684,-3.01313607,-3.509658284,0,-1.50966289,-3.273481356,-1.601809611
1960,2,1960.125,-2.973859072,-0.646922099,1.756176173,-8.751022654,2.686687586,-5.750588967,-6.821725381,-4.18744641,1.734718049,0.825514991,-0.939257583,-6.228424327,-2.564357112,0,-3.507491694,-3.585882627,-2.074527379
1960,2,1960.125,-3.461709559,-4.202296972,-4.346976379,-5.807545256,-2.738733014,-4.169240558,-5.176896397,-3.244337573,-3.723666256,-1.656956827,-3.22651003,-2.194273755,-4.164771186,0,-0.503301986,-0.732947103,-2.215962561
1960,2,1960.125,-0.102818253,-1.006847884,-0.49767623,-1.781801993,1.624094765,-0.982739398,-2.038595004,-0.02903371,1.039910162,2.12388114,-0.032547481,0.704144383,-1.895615235,0,2.478184168,1.841590965,0.987189136
1960,2,1960.125,0.775567238,3.051087515,4.699347624,-1.972222531,5.711786811,0.791368009,-0.719700677,0.772150292,3.81577026,1.22659038,1.307075459,-1.834569872,2.723433527,0,0.17807887,-1.485029736,-0.53052276
1960,2,1960.125,2.488486078,4.212214797,5.662603304,-0.812105558,6.711412574,1.489141059,0.237646564,2.330785396,5.322222787,4.410375116,3.70451812,0.010845893,3.530808513,0,2.136698252,1.762799543,2.166097945
1960,2,1960.125,5.943135424,7.190409362,7.49427323,3.478654684,8.158247452,4.640506774,3.203107875,6.103838147,7.584885603,8.133373882,7.532706873,5.096444806,6.05111272,0,6.865588314,5.939480129,6.592070892
1960,2,1960.125,7.075366989,7.930412565,8.201801394,4.786230635,9.147472163,6.458240112,4.394413016,7.493687872,8.09969008,8.608038277,8.393015987,6.382415587,7.129332419,0,7.185518748,7.716751907,8.45401255
1960,3,1960.208333,7.075186924,7.773128797,8.153496465,5.660579563,8.638701533,7.229618284,4.900340554,7.483185885,8.061376467,7.824930737,7.835200801,6.891192887,7.882322121,0,7.634553504,7.239659557,7.210871354
1960,3,1960.208333,5.211289666,6.211539477,7.777271431,1.952351561,8.871860236,4.78450686,1.139538759,6.232741649,7.921642633,7.237716006,6.131548253,4.731811862,6.518101469,0,6.360581221,4.549551188,6.126561628
1960,3,1960.208333,3.913510465,4.005630013,3.861306161,1.555965712,5.34335889,4.088188329,1.236423738,5.089150132,4.558860437,5.450574604,4.995417031,3.970099925,4.635958919,0,5.842256642,4.411133133,5.576348619
1960,3,1960.208333,0.301260827,3.495733041,4.503413052,-2.71888842,3.282145656,0.902638704,-3.431645851,0.633013229,1.817763992,1.869487038,0.740894142,-1.811721803,3.327156608,0,0.555131627,-1.103028416,-0.22809684
1960,3,1960.208333,1.70764313,1.009084082,1.337120001,0.194323489,2.190128392,1.087700481,0.263476054,2.023518104,1.700374002,3.905484938,1.678101313,1.284606381,1.303729872,0,4.504206844,4.029234535,2.506581334
1960,3,1960.208333,3.253722368,2.348779301,2.905075347,2.106409911,4.030833979,1.516472761,3.672045815,2.302166414,3.489222749,4.711227159,3.162838971,2.993160747,2.11793311,0,4.005994508,5.40427581,3.301390137
1960,3,1960.208333,1.001109679,0.125177405,-0.034964794,0.867087466,0.717018759,0.762287978,0.975678254,0.945682128,-0.138824038,1.796330873,0.783045597,1.528618757,0.8586783,0,2.558793562,2.856856415,0.886268571
1960,3,1960.208333,-0.111140588,-0.82191064,-0.486749458,-0.462217552,0.817119451,-0.435540012,0.095196513,-0.084117048,-0.514656776,0.456294898,-0.287318772,-0.695731022,-0.006146822,0,0.7542504,1.602554416,-0.547917498
1960,3,1960.208333,-1.895334769,-0.662702621,-0.022500253,-5.039153693,0.971860928,-3.462848738,-4.433674726,-1.536108216,-0.202060901,0.362045315,-1.101594285,-3.510805046,-1.392179011,0,-0.70482173,-0.414513472,-1.705756745
1960,3,1960.208333,0.229313411,1.269041109,2.602316326,-2.117519676,3.433821562,-0.422185814,-2.38318994,0.393715305,2.640570155,2.759682759,0.17126157,-1.022928454,0.507076496,0,0.727491481,0.371871931,-0.364129754
1960,3,1960.208333,3.654704119,4.016922178,3.734353791,1.683340373,5.524062818,2.706600086,1.561244917,4.633217533,4.743261022,4.802771584,4.77849494,3.526405797,3.754534635,0,5.127900361,4.521403594,4.588775045
1960,3,1960.208333,3.520302518,4.116839099,4.526244799,1.484112933,4.282096164,2.026994528,0.976106572,3.406100729,4.48204709,6.100823774,4.946058044,2.497866609,3.172204657,0,4.073532797,4.001111386,5.08560513
1960,3,1960.208333,3.992512011,3.380344088,4.284673139,2.049618587,6.422804225,2.582185561,2.139859291,4.062054868,5.821212455,6.725607935,5.262836273,3.041226239,3.232121651,0,4.335670548,3.949640845,5.499911954
1960,3,1960.208333,5.20951368,5.54766745,5.69474391,3.438324494,6.509624434,4.106043553,3.674246489,5.80516847,6.471101337,7.251843359,6.665605382,4.674835691,4.801045826,0,5.883700126,4.011904126,6.298973092
1960,3,1960.208333,5.574797457,6.462808955,6.234324441,3.852841243,6.852663526,4.620213961,3.827744948,6.636517371,5.837098833,6.363864527,6.805527598,5.281184626,5.589375545,0,6.543273451,6.277170118,6.326326908
1960,3,1960.208333,4.25388007,4.042014205,4.150244603,2.864065325,4.800013542,3.389682395,3.250047203,4.351916446,4.585078744,5.422927361,4.634568751,4.341398768,3.922599443,0,5.390446507,5.906583077,4.693700684
1960,3,1960.208333,3.064063655,2.818884316,3.246387522,1.982267336,4.040134663,2.059231689,1.88361543,2.892771233,3.653283724,4.501643166,2.767094889,3.198106217,2.541823606,0,4.289345312,5.050287393,2.964890606
1960,3,1960.208333,1.434731415,1.564192963,2.152177651,0.166070159,2.821216038,0.607655106,-0.362549781,1.082017732,2.084794517,2.996009712,1.471581537,0.730137466,1.406473861,0,2.731953722,4.039271555,1.197900239
1960,3,1960.208333,2.35767208,2.395355055,2.787450507,0.977268977,3.092729932,1.167373667,1.824027775,2.071385919,2.992290898,3.954898672,2.109318708,1.685597237,2.097363862,0,2.93075877,3.91525146,2.089038111
1960,3,1960.208333,2.317409626,-0.22436343,-1.150511693,2.013830651,-0.040405348,1.061614529,4.384246831,2.711531222,-0.064190507,3.399971398,2.16885114,3.221537513,0.951220767,0,3.494981749,5.008190067,3.547921734
1960,3,1960.208333,1.947336034,1.039095555,1.33589225,1.608317879,1.137169387,-0.065963337,4.13877235,0.841705427,0.669436653,2.408626267,0.604486224,2.453379711,0.51474917,0,2.591733426,5.185505116,0.825262526
1960,3,1960.208333,1.480632053,-0.76828883,0.76336765,1.228942741,0.540287092,0.117000465,4.050664665,0.38091207,-0.612117596,2.090201553,-0.407290366,2.131261614,-0.39634019,0,3.194504883,4.624866242,1.484953835
1960,3,1960.208333,1.215368731,0.82256008,0.57022277,-0.137134698,1.657052867,-0.102071828,1.112395046,-0.180552362,0.914986681,2.672039937,1.168287747,0.931636106,1.016339093,0,2.155246144,3.978751425,1.423189186
1960,3,1960.208333,2.031124269,1.157186082,2.790249165,0.541717396,4.070173847,0.417924692,1.076763584,1.682105767,3.231671945,4.160298906,2.102698901,2.017104258,0.784282522,0,2.111169103,1.856704508,2.918061467
1960,3,1960.208333,2.524380737,2.270481749,3.919985781,0.993580896,7.358329991,1.738784516,-1.042948495,2.010734305,6.402945453,5.631240899,3.090459533,1.605476699,1.75379239,0,3.397723206,2.551757624,2.756150736
1960,3,1960.208333,1.976877926,3.4922385,3.998548532,1.160845749,4.410551482,2.383680408,-1.655803957,2.429844172,3.637670334,3.453176101,3.068683149,1.18326338,3.112794319,0,1.61377959,1.166408402,1.511989467
1960,3,1960.208333,1.943708804,3.865485263,4.249332989,-0.596664735,4.784053267,1.66428742,-2.065000453,2.777887053,4.229748953,4.003209084,3.890180434,-0.193743615,3.411489469,0,2.73372851,0.575495499,3.206396747
1960,3,1960.208333,1.706235554,1.515345872,3.237227408,1.436363871,3.967660835,1.215058493,1.226172041,0.58684799,3.219296608,2.775080034,1.40695821,1.202960161,0.715316713,0,2.076320374,1.200401316,1.16747009
1960,3,1960.208333,0.961167697,1.954859775,3.43607859,-0.603116908,3.469107294,0.676891384,-1.058014717,0.565320902,2.746684807,1.740669499,1.617322721,-0.121004604,1.085812875,0,1.745692086,0.967949755,0.868321587
1960,3,1960.208333,1.123306346,2.385100337,3.42471448,-0.628081288,4.619840679,1.107363322,-2.251284782,1.882772379,3.737457093,2.23774774,2.087985556,-0.015519292,2.137380384,0,2.492871286,-0.054580264,1.456680618
1960,3,1960.208333,1.502911583,2.54032085,2.313126257,0.390438613,3.647649662,1.620378744,-2.133027425,1.861186466,3.603313233,2.841867829,2.49703809,1.80782811,1.674829662,0,1.845356904,1.223347291,2.045424049
1960,4,1960.291667,1.962706221,2.717199232,2.016158787,1.223475265,0.950870004,1.72552101,0.550961629,1.535497874,0.682954214,2.915025652,1.21613408,2.421262749,2.555678073,0,3.980417944,3.874173922,2.588384225
1960,4,1960.291667,3.942913149,3.642943362,3.738642047,2.458223228,4.140016506,2.870386148,1.903318211,4.562708088,3.924398358,5.955910951,4.331952714,3.932000224,3.182204194,0,5.530285623,5.841891359,5.534308425
1960,4,1960.291667,5.485045265,6.533075655,6.363978827,4.038007234,7.939002589,4.516366122,4.130299771,5.996300761,7.469144732,6.589663877,6.585311814,4.665863178,5.442976782,0,5.385411143,5.121856186,4.880388944
1960,4,1960.291667,5.402150902,6.431786077,6.305888907,4.507651569,6.887272897,4.997402385,4.977345466,6.443967323,5.973284411,5.155326815,6.51590157,5.873524909,5.974562529,0,6.081426474,2.09846363,5.547475173
1960,4,1960.291667,7.195465772,8.081065445,7.513330746,5.292019207,9.014726234,5.907997101,5.690893275,7.418982082,8.270153507,8.773992147,8.690645717,6.479358909,7.099290894,0,7.479155328,7.210160877,8.037981606
1960,4,1960.291667,7.659122563,9.107126281,8.179649626,6.581640288,8.931123403,7.791424319,5.651552686,8.179808596,8.399844155,8.869111617,9.18731466,6.750948281,9.182405746,0,7.116206705,6.332646156,7.759108479
1960,4,1960.291667,3.701519106,3.67866128,7.605401335,1.791861912,9.028998523,2.493474028,0.209550329,3.708682147,7.410962649,4.821314712,2.227603759,4.416217638,3.337061948,0,5.727099091,3.784404002,3.551361798
1960,4,1960.291667,5.624712705,4.478891773,7.546688033,5.16786605,9.402560353,4.161844461,5.429120664,4.507640805,8.193656615,5.831336582,4.147685981,5.961490263,4.561770008,0,6.329699591,6.851970381,4.265280836
1960,4,1960.291667,7.031492169,7.913109384,6.511305425,6.413302771,6.814507092,7.550379633,5.67297778,8.057241832,6.456721065,7.95579344,8.28416783,6.703833648,7.96355925,0,7.661830154,5.920905062,7.860223527
1960,4,1960.291667,4.91994022,5.207030776,5.215222804,2.53168624,6.882306224,4.086408275,2.423915042,5.541498072,6.253297459,6.884172429,6.172419967,4.520593188,5.026541968,0,6.010907275,5.641279553,6.080453081
1960,4,1960.291667,3.998915371,5.10445959,6.300214997,3.519688061,6.048695577,4.337056142,2.520338889,4.69074321,4.998365425,4.27521964,3.854197243,3.817430009,5.201120019,0,4.088398799,1.048681553,3.422709597
1960,4,1960.291667,2.514048987,2.2846656,2.079454606,1.220107502,2.761347595,2.122974001,1.315476882,3.204827373,1.724363808,3.696109456,2.821039011,2.640229627,2.806946485,0,3.671778526,3.968697906,3.422228141
1960,4,1960.291667,6.183375385,6.733739303,7.789086317,4.252621097,8.295625227,4.77608854,4.294472291,5.8828547,7.767153988,7.596664001,7.013904234,5.66728187,5.704711737,0,7.622925564,7.365576049,6.499370014
