"","GCM","RCM","Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity","Simulator","GCM_labeled"
"32","CNRM-CERFACS-CNRM-CM5","ALADIN63",2011,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"33","CNRM-CERFACS-CNRM-CM5","ALADIN63",2012,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"34","CNRM-CERFACS-CNRM-CM5","ALADIN63",2013,"E Midlands",1,0.00934579439252336,3,32.8581043879191,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"35","CNRM-CERFACS-CNRM-CM5","ALADIN63",2014,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"36","CNRM-CERFACS-CNRM-CM5","ALADIN63",2015,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"37","CNRM-CERFACS-CNRM-CM5","ALADIN63",2016,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"38","CNRM-CERFACS-CNRM-CM5","ALADIN63",2017,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"39","CNRM-CERFACS-CNRM-CM5","ALADIN63",2018,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"40","CNRM-CERFACS-CNRM-CM5","ALADIN63",2019,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"41","CNRM-CERFACS-CNRM-CM5","ALADIN63",2020,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"42","CNRM-CERFACS-CNRM-CM5","ALADIN63",2021,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"43","CNRM-CERFACS-CNRM-CM5","ALADIN63",2022,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"44","CNRM-CERFACS-CNRM-CM5","ALADIN63",2023,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"45","CNRM-CERFACS-CNRM-CM5","ALADIN63",2024,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"46","CNRM-CERFACS-CNRM-CM5","ALADIN63",2025,"E Midlands",1,0.682242990654206,3.54794520547945,36.0535720920998,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"47","CNRM-CERFACS-CNRM-CM5","ALADIN63",2026,"E Midlands",1,0.0654205607476635,3,31.2503503163656,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"48","CNRM-CERFACS-CNRM-CM5","ALADIN63",2027,"E Midlands",1,0.0841121495327103,3,31.3158202347932,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"49","CNRM-CERFACS-CNRM-CM5","ALADIN63",2028,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"50","CNRM-CERFACS-CNRM-CM5","ALADIN63",2029,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
