"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
2031,"E of England",2,0,0,0
2032,"E of England",2,0,0,0
2033,"E of England",2,1.24242424242424,3.51829268292683,32.3396506844497
2034,"E of England",2,0,0,0
2035,"E of England",2,0,0,0
2036,"E of England",2,0,0,0
2037,"E of England",2,0,0,0
2038,"E of England",2,0.00757575757575758,3,32.8597259521484
2039,"E of England",2,0,0,0
2040,"E of England",2,0,0,0
2041,"E of England",2,0.0606060606060606,3,30.7720154921214
2042,"E of England",2,0.886363636363636,4.70940170940171,34.4459304365337
2043,"E of England",2,0,0,0
2044,"E of England",2,0,0,0
2045,"E of England",2,0,0,0
2046,"E of England",2,0,0,0
2047,"E of England",2,0.151515151515152,3,32.0785666624705
2048,"E of England",2,0.515151515151515,3.13235294117647,33.7381828899477
2049,"E of England",2,0,0,0
2050,"E of England",2,2.18939393939394,4.16262975778547,33.3434947973029
2051,"E of England",2,0,0,0
2052,"E of England",2,0.00757575757575758,3,30.506010055542
2053,"E of England",2,0,0,0
2054,"E of England",2,0.727272727272727,3,32.5111957258648
2055,"E of England",2,0.795454545454545,4.28571428571429,32.7672200408814
2056,"E of England",2,0.477272727272727,3.3968253968254,32.4757470135966
2057,"E of England",2,0,0,0
2058,"E of England",2,0.856060606060606,6.74336283185841,33.3527906213622
2059,"E of England",2,0,0,0
2060,"E of England",2,0,0,0
2061,"E of England",2,0,0,0
2062,"E of England",2,0.492424242424242,3.84615384615385,33.061269059548
2063,"E of England",2,0.0303030303030303,3.5,35.2663017908732
2064,"E of England",2,0,0,0
2065,"E of England",2,2.89393939393939,4.71989528795812,34.1641440048387
2066,"E of England",2,0.810606060606061,3.10280373831776,32.5618894085334
2067,"E of England",2,0,0,0
2068,"E of England",2,0.0606060606060606,3.125,30.7865887284279
2069,"E of England",2,0.583333333333333,3.18181818181818,32.1190810203552
2070,"E of England",2,0.772727272727273,3.13725490196078,33.6648338978587
2071,"E of England",2,0.757575757575758,3,34.1804913393656
2072,"E of England",2,1.46969696969697,5.01546391752577,34.1259764613506
2073,"E of England",2,0,0,0
2074,"E of England",2,0,0,0
2075,"E of England",2,0,0,0
2076,"E of England",2,0,0,0
2077,"E of England",2,1.01515151515152,3.52985074626866,34.1158542759976
2078,"E of England",2,0,0,0
2079,"E of England",2,0,0,0
2080,"E of England",2,0.242424242424242,3,31.811870833238
1980,"E Scotland",3,0,0,0
1981,"E Scotland",3,0,0,0
1982,"E Scotland",3,0,0,0
1983,"E Scotland",3,0,0,0
1984,"E Scotland",3,0,0,0
1985,"E Scotland",3,0,0,0
1986,"E Scotland",3,0,0,0
1987,"E Scotland",3,0,0,0
1988,"E Scotland",3,0,0,0
1989,"E Scotland",3,0,0,0
1990,"E Scotland",3,0,0,0
1991,"E Scotland",3,0,0,0
1992,"E Scotland",3,0,0,0
1993,"E Scotland",3,0,0,0
1994,"E Scotland",3,0,0,0
1995,"E Scotland",3,0,0,0
1996,"E Scotland",3,0,0,0
1997,"E Scotland",3,0,0,0
1998,"E Scotland",3,0,0,0
1999,"E Scotland",3,0,0,0
2000,"E Scotland",3,0,0,0
2001,"E Scotland",3,0,0,0
2002,"E Scotland",3,0,0,0
2003,"E Scotland",3,0,0,0
2004,"E Scotland",3,0,0,0
2005,"E Scotland",3,0,0,0
2006,"E Scotland",3,0,0,0
2007,"E Scotland",3,0,0,0
2008,"E Scotland",3,0,0,0
2009,"E Scotland",3,0,0,0
2010,"E Scotland",3,0,0,0
2011,"E Scotland",3,0,0,0
2012,"E Scotland",3,0,0,0
2013,"E Scotland",3,0,0,0
2014,"E Scotland",3,0,0,0
2015,"E Scotland",3,0,0,0
2016,"E Scotland",3,0,0,0
2017,"E Scotland",3,0,0,0
2018,"E Scotland",3,0,0,0
2019,"E Scotland",3,0,0,0
2020,"E Scotland",3,0,0,0
2021,"E Scotland",3,0,0,0
2022,"E Scotland",3,0,0,0
2023,"E Scotland",3,0,0,0
2024,"E Scotland",3,0,0,0
2025,"E Scotland",3,0,0,0
2026,"E Scotland",3,0,0,0
2027,"E Scotland",3,0,0,0
2028,"E Scotland",3,0,0,0
2029,"E Scotland",3,0,0,0
2030,"E Scotland",3,0,0,0
2031,"E Scotland",3,0,0,0
2032,"E Scotland",3,0,0,0
2033,"E Scotland",3,0,0,0
2034,"E Scotland",3,0,0,0
2035,"E Scotland",3,0,0,0
2036,"E Scotland",3,0,0,0
2037,"E Scotland",3,0,0,0
2038,"E Scotland",3,0,0,0
2039,"E Scotland",3,0,0,0
2040,"E Scotland",3,0,0,0
2041,"E Scotland",3,0,0,0
2042,"E Scotland",3,0,0,0
2043,"E Scotland",3,0,0,0
2044,"E Scotland",3,0,0,0
2045,"E Scotland",3,0,0,0
2046,"E Scotland",3,0,0,0
2047,"E Scotland",3,0,0,0
2048,"E Scotland",3,0,0,0
2049,"E Scotland",3,0,0,0
2050,"E Scotland",3,0,0,0
2051,"E Scotland",3,0,0,0
2052,"E Scotland",3,0,0,0
2053,"E Scotland",3,0,0,0
2054,"E Scotland",3,0,0,0
2055,"E Scotland",3,0,0,0
2056,"E Scotland",3,0,0,0
2057,"E Scotland",3,0,0,0
2058,"E Scotland",3,0.0119760479041916,3,28.6530933380127
2059,"E Scotland",3,0,0,0
2060,"E Scotland",3,0,0,0
2061,"E Scotland",3,0,0,0
2062,"E Scotland",3,0,0,0
2063,"E Scotland",3,0,0,0
2064,"E Scotland",3,0,0,0
2065,"E Scotland",3,0,0,0
2066,"E Scotland",3,0,0,0
2067,"E Scotland",3,0,0,0
2068,"E Scotland",3,0,0,0
2069,"E Scotland",3,0,0,0
2070,"E Scotland",3,0,0,0
2071,"E Scotland",3,0,0,0
2072,"E Scotland",3,0,0,0
2073,"E Scotland",3,0,0,0
2074,"E Scotland",3,0,0,0
2075,"E Scotland",3,0,0,0
2076,"E Scotland",3,0,0,0
2077,"E Scotland",3,0,0,0
2078,"E Scotland",3,0,0,0
2079,"E Scotland",3,0,0,0
2080,"E Scotland",3,0,0,0
1980,"London",4,0,0,0
1981,"London",4,0,0,0
1982,"London",4,0,0,0
1983,"London",4,0,0,0
1984,"London",4,0,0,0
1985,"London",4,0,0,0
1986,"London",4,0,0,0
1987,"London",4,0,0,0
1988,"London",4,0,0,0
1989,"London",4,0,0,0
1990,"London",4,0,0,0
1991,"London",4,0,0,0
1992,"London",4,0,0,0
1993,"London",4,0,0,0
1994,"London",4,0,0,0
1995,"London",4,0,0,0
1996,"London",4,0,0,0
1997,"London",4,0,0,0
1998,"London",4,0,0,0
1999,"London",4,0,0,0
2000,"London",4,0,0,0
2001,"London",4,0,0,0
2002,"London",4,0,0,0
2003,"London",4,0,0,0
2004,"London",4,0,0,0
2005,"London",4,0,0,0
2006,"London",4,0,0,0
2007,"London",4,0,0,0
2008,"London",4,0,0,0
2009,"London",4,0,0,0
2010,"London",4,0,0,0
2011,"London",4,0,0,0
2012,"London",4,0,0,0
2013,"London",4,0,0,0
2014,"London",4,0,0,0
2015,"London",4,0,0,0
2016,"London",4,0,0,0
2017,"London",4,0,0,0
2018,"London",4,0,0,0
2019,"London",4,0,0,0
2020,"London",4,0,0,0
2021,"London",4,0,0,0
2022,"London",4,0,0,0
2023,"London",4,0,0,0
2024,"London",4,0,0,0
2025,"London",4,0,0,0
2026,"London",4,0,0,0
2027,"London",4,0,0,0
2028,"London",4,0,0,0
2029,"London",4,0,0,0
2030,"London",4,0,0,0
2031,"London",4,0,0,0
2032,"London",4,0,0,0
2033,"London",4,0,0,0
2034,"London",4,0,0,0
2035,"London",4,0,0,0
2036,"London",4,0,0,0
2037,"London",4,0,0,0
2038,"London",4,0,0,0
2039,"London",4,0,0,0
2040,"London",4,0,0,0
2041,"London",4,0,0,0
2042,"London",4,1,4,35.4505954186122
2043,"London",4,0,0,0
2044,"London",4,0,0,0
2045,"London",4,0,0,0
2046,"London",4,0,0,0
2047,"London",4,0,0,0
2048,"London",4,0,0,0
2049,"London",4,0,0,0
2050,"London",4,0.666666666666667,3.5,34.1504226724307
2051,"London",4,0,0,0
2052,"London",4,0,0,0
2053,"London",4,0,0,0
2054,"London",4,0.166666666666667,3,33.0791273117065
2055,"London",4,0,0,0
2056,"London",4,0,0,0
2057,"London",4,0,0,0
2058,"London",4,0.916666666666667,4.36363636363636,34.1374318671949
2059,"London",4,0,0,0
2060,"London",4,0,0,0
2061,"London",4,0,0,0
2062,"London",4,0,0,0
2063,"London",4,0,0,0
2064,"London",4,0,0,0
2065,"London",4,2.25,4.7037037037037,36.7906133793018
2066,"London",4,0,0,0
2067,"London",4,0,0,0
2068,"London",4,0,0,0
2069,"London",4,0,0,0
2070,"London",4,0,0,0
2071,"London",4,0,0,0
2072,"London",4,0.75,3,37.5939439137777
2073,"London",4,0,0,0
2074,"London",4,0,0,0
2075,"London",4,0,0,0
2076,"London",4,0,0,0
2077,"London",4,0.916666666666667,4,35.7179364291104
2078,"London",4,0,0,0
2079,"London",4,0,0,0
2080,"London",4,0,0,0
1980,"NE England",5,0,0,0
1981,"NE England",5,0,0,0
1982,"NE England",5,0,0,0
1983,"NE England",5,0,0,0
1984,"NE England",5,0,0,0
1985,"NE England",5,0,0,0
1986,"NE England",5,0,0,0
1987,"NE England",5,0,0,0
1988,"NE England",5,0,0,0
1989,"NE England",5,0,0,0
1990,"NE England",5,0,0,0
1991,"NE England",5,0,0,0
1992,"NE England",5,0,0,0
1993,"NE England",5,0,0,0
1994,"NE England",5,0,0,0
1995,"NE England",5,0,0,0
1996,"NE England",5,0,0,0
1997,"NE England",5,0,0,0
1998,"NE England",5,0,0,0
1999,"NE England",5,0,0,0
2000,"NE England",5,0,0,0
2001,"NE England",5,0,0,0
2002,"NE England",5,0,0,0
2003,"NE England",5,0,0,0
2004,"NE England",5,0,0,0
2005,"NE England",5,0,0,0
2006,"NE England",5,0,0,0
2007,"NE England",5,0,0,0
2008,"NE England",5,0,0,0
2009,"NE England",5,0,0,0
2010,"NE England",5,0,0,0
2011,"NE England",5,0,0,0
2012,"NE England",5,0,0,0
2013,"NE England",5,0,0,0
2014,"NE England",5,0,0,0
2015,"NE England",5,0,0,0
2016,"NE England",5,0,0,0
2017,"NE England",5,0,0,0
2018,"NE England",5,0,0,0
2019,"NE England",5,0,0,0
2020,"NE England",5,0,0,0
2021,"NE England",5,0,0,0
2022,"NE England",5,0,0,0
2023,"NE England",5,0,0,0
2024,"NE England",5,0,0,0
2025,"NE England",5,0.0483870967741935,3.66666666666667,32.6481365097894
2026,"NE England",5,0,0,0
2027,"NE England",5,0,0,0
2028,"NE England",5,0,0,0
2029,"NE England",5,0,0,0
2030,"NE England",5,0,0,0
2031,"NE England",5,0,0,0
2032,"NE England",5,0,0,0
2033,"NE England",5,0,0,0
2034,"NE England",5,0,0,0
2035,"NE England",5,0,0,0
2036,"NE England",5,0,0,0
2037,"NE England",5,0,0,0
2038,"NE England",5,0,0,0
2039,"NE England",5,0,0,0
2040,"NE England",5,0,0,0
2041,"NE England",5,0,0,0
2042,"NE England",5,0,0,0
2043,"NE England",5,0,0,0
2044,"NE England",5,0,0,0
2045,"NE England",5,0,0,0
2046,"NE England",5,0,0,0
2047,"NE England",5,0,0,0
2048,"NE England",5,0.0806451612903226,3,30.7154521942139
2049,"NE England",5,0,0,0
2050,"NE England",5,0,0,0
2051,"NE England",5,0,0,0
2052,"NE England",5,0,0,0
2053,"NE England",5,0,0,0
2054,"NE England",5,0,0,0
2055,"NE England",5,0,0,0
2056,"NE England",5,0,0,0
2057,"NE England",5,0,0,0
2058,"NE England",5,0.0161290322580645,3,30.7761138280233
2059,"NE England",5,0,0,0
2060,"NE England",5,0,0,0
2061,"NE England",5,0,0,0
2062,"NE England",5,0,0,0
2063,"NE England",5,0,0,0
2064,"NE England",5,0,0,0
2065,"NE England",5,0.0967741935483871,3.5,31.3773523834017
2066,"NE England",5,0,0,0
2067,"NE England",5,0,0,0
2068,"NE England",5,0,0,0
2069,"NE England",5,0,0,0
2070,"NE England",5,0,0,0
2071,"NE England",5,0,0,0
2072,"NE England",5,0,0,0
2073,"NE England",5,0,0,0
2074,"NE England",5,0,0,0
2075,"NE England",5,0,0,0
2076,"NE England",5,0,0,0
2077,"NE England",5,0,0,0
2078,"NE England",5,0,0,0
2079,"NE England",5,0,0,0
2080,"NE England",5,0,0,0
1980,"N Scotland",6,0,0,0
1981,"N Scotland",6,0,0,0
1982,"N Scotland",6,0,0,0
1983,"N Scotland",6,0,0,0
1984,"N Scotland",6,0,0,0
1985,"N Scotland",6,0,0,0
1986,"N Scotland",6,0,0,0
1987,"N Scotland",6,0,0,0
1988,"N Scotland",6,0,0,0
1989,"N Scotland",6,0,0,0
1990,"N Scotland",6,0,0,0
1991,"N Scotland",6,0,0,0
1992,"N Scotland",6,0,0,0
1993,"N Scotland",6,0,0,0
1994,"N Scotland",6,0,0,0
1995,"N Scotland",6,0,0,0
1996,"N Scotland",6,0,0,0
1997,"N Scotland",6,0,0,0
1998,"N Scotland",6,0,0,0
1999,"N Scotland",6,0,0,0
2000,"N Scotland",6,0,0,0
2001,"N Scotland",6,0,0,0
2002,"N Scotland",6,0,0,0
2003,"N Scotland",6,0,0,0
2004,"N Scotland",6,0,0,0
2005,"N Scotland",6,0,0,0
2006,"N Scotland",6,0,0,0
2007,"N Scotland",6,0,0,0
2008,"N Scotland",6,0,0,0
2009,"N Scotland",6,0,0,0
2010,"N Scotland",6,0,0,0
2011,"N Scotland",6,0,0,0
2012,"N Scotland",6,0,0,0
2013,"N Scotland",6,0,0,0
2014,"N Scotland",6,0,0,0
2015,"N Scotland",6,0,0,0
2016,"N Scotland",6,0,0,0
2017,"N Scotland",6,0,0,0
2018,"N Scotland",6,0,0,0
2019,"N Scotland",6,0,0,0
2020,"N Scotland",6,0,0,0
2021,"N Scotland",6,0,0,0
2022,"N Scotland",6,0,0,0
2023,"N Scotland",6,0,0,0
2024,"N Scotland",6,0,0,0
2025,"N Scotland",6,0,0,0
2026,"N Scotland",6,0,0,0
2027,"N Scotland",6,0,0,0
2028,"N Scotland",6,0,0,0
2029,"N Scotland",6,0,0,0
2030,"N Scotland",6,0,0,0
2031,"N Scotland",6,0,0,0
2032,"N Scotland",6,0,0,0
2033,"N Scotland",6,0,0,0
2034,"N Scotland",6,0,0,0
2035,"N Scotland",6,0,0,0
2036,"N Scotland",6,0,0,0
2037,"N Scotland",6,0,0,0
2038,"N Scotland",6,0,0,0
2039,"N Scotland",6,0,0,0
2040,"N Scotland",6,0,0,0
2041,"N Scotland",6,0,0,0
2042,"N Scotland",6,0,0,0
2043,"N Scotland",6,0,0,0
2044,"N Scotland",6,0,0,0
2045,"N Scotland",6,0,0,0
2046,"N Scotland",6,0,0,0
2047,"N Scotland",6,0,0,0
2048,"N Scotland",6,0,0,0
2049,"N Scotland",6,0,0,0
2050,"N Scotland",6,0,0,0
2051,"N Scotland",6,0,0,0
2052,"N Scotland",6,0,0,0
2053,"N Scotland",6,0,0,0
2054,"N Scotland",6,0,0,0
2055,"N Scotland",6,0,0,0
2056,"N Scotland",6,0,0,0
2057,"N Scotland",6,0,0,0
2058,"N Scotland",6,0,0,0
2059,"N Scotland",6,0,0,0
2060,"N Scotland",6,0,0,0
2061,"N Scotland",6,0.00465116279069767,5,28.9808458328247
2062,"N Scotland",6,0,0,0
2063,"N Scotland",6,0,0,0
2064,"N Scotland",6,0,0,0
2065,"N Scotland",6,0,0,0
2066,"N Scotland",6,0,0,0
2067,"N Scotland",6,0,0,0
2068,"N Scotland",6,0,0,0
2069,"N Scotland",6,0,0,0
2070,"N Scotland",6,0,0,0
2071,"N Scotland",6,0,0,0
2072,"N Scotland",6,0,0,0
2073,"N Scotland",6,0,0,0
2074,"N Scotland",6,0,0,0
2075,"N Scotland",6,0,0,0
2076,"N Scotland",6,0,0,0
2077,"N Scotland",6,0.0418604651162791,3,29.0702612488358
2078,"N Scotland",6,0,0,0
2079,"N Scotland",6,0,0,0
2080,"N Scotland",6,0,0,0
1980,"NW England",7,0,0,0
1981,"NW England",7,0,0,0
1982,"NW England",7,0,0,0
1983,"NW England",7,0,0,0
1984,"NW England",7,0,0,0
1985,"NW England",7,0,0,0
1986,"NW England",7,0,0,0
1987,"NW England",7,0,0,0
1988,"NW England",7,0,0,0
1989,"NW England",7,0,0,0
1990,"NW England",7,0,0,0
1991,"NW England",7,0,0,0
1992,"NW England",7,0,0,0
1993,"NW England",7,0,0,0
1994,"NW England",7,0,0,0
1995,"NW England",7,0,0,0
1996,"NW England",7,0,0,0
1997,"NW England",7,0,0,0
1998,"NW England",7,0,0,0
1999,"NW England",7,0,0,0
2000,"NW England",7,0,0,0
2001,"NW England",7,0,0,0
2002,"NW England",7,0,0,0
2003,"NW England",7,0,0,0
2004,"NW England",7,0,0,0
2005,"NW England",7,0,0,0
2006,"NW England",7,0,0,0
2007,"NW England",7,0,0,0
2008,"NW England",7,0,0,0
2009,"NW England",7,0,0,0
2010,"NW England",7,0,0,0
2011,"NW England",7,0,0,0
2012,"NW England",7,0,0,0
2013,"NW England",7,0,0,0
2014,"NW England",7,0,0,0
2015,"NW England",7,0,0,0
2016,"NW England",7,0,0,0
2017,"NW England",7,0,0,0
2018,"NW England",7,0,0,0
2019,"NW England",7,0,0,0
2020,"NW England",7,0,0,0
2021,"NW England",7,0,0,0
2022,"NW England",7,0,0,0
2023,"NW England",7,0,0,0
2024,"NW England",7,0,0,0
2025,"NW England",7,0.302083333333333,3.31034482758621,32.742298282426
2026,"NW England",7,0.09375,3.11111111111111,30.8275071956493
2027,"NW England",7,0,0,0
2028,"NW England",7,0,0,0
2029,"NW England",7,0,0,0
2030,"NW England",7,0.0625,3,32.4367063310411
2031,"NW England",7,0,0,0
2032,"NW England",7,0,0,0
2033,"NW England",7,0,0,0
2034,"NW England",7,0,0,0
2035,"NW England",7,0,0,0
2036,"NW England",7,0,0,0
2037,"NW England",7,0,0,0
2038,"NW England",7,0,0,0
2039,"NW England",7,0,0,0
2040,"NW England",7,0,0,0
2041,"NW England",7,0,0,0
2042,"NW England",7,0,0,0
2043,"NW England",7,0,0,0
2044,"NW England",7,0,0,0
2045,"NW England",7,0,0,0
2046,"NW England",7,0,0,0
2047,"NW England",7,0,0,0
2048,"NW England",7,0,0,0
2049,"NW England",7,0,0,0
2050,"NW England",7,0.0208333333333333,3,31.0440974235535
2051,"NW England",7,0,0,0
2052,"NW England",7,0,0,0
2053,"NW England",7,0,0,0
2054,"NW England",7,0,0,0
2055,"NW England",7,0,0,0
2056,"NW England",7,0,0,0
2057,"NW England",7,0,0,0
2058,"NW England",7,0.239583333333333,3.56521739130435,31.4005735818891
2059,"NW England",7,0,0,0
2060,"NW England",7,0,0,0
2061,"NW England",7,0,0,0
2062,"NW England",7,0.4375,3.4047619047619,32.0062707927492
2063,"NW England",7,0,0,0
2064,"NW England",7,0,0,0
2065,"NW England",7,0.0208333333333333,3,30.6174170176188
2066,"NW England",7,0,0,0
2067,"NW England",7,0,0,0
2068,"NW England",7,0.0416666666666667,3,30.7341383298238
2069,"NW England",7,0,0,0
2070,"NW England",7,0,0,0
2071,"NW England",7,0,0,0
