North	East
73276.23	185058.93
73178.42	185054.93
73143.3	185115.97
73139.05	185219.93
73071.25	185279.63
72810.37	185268.97
72716.8	185161.08
72261.14	185121.58
72090.54	185302.06
72118.01	185428.21
72051.07	185467.08
71952.4	185483.93
71922.38	185420.23
71946.17	184837.98
71883.47	184772.93
71622.59	184762.25
71406.32	184461.76
71411.43	184336.92
71256.05	184143.07
70897.35	184128.35
70867.34	184064.63
70876.74	183835.83
70814.05	183770.76
70716.24	183766.74
70681.11	183827.79
70675.98	183952.58
70368.02	184294.14
70363.76	184398.16
70225.6	184580.01
70127.78	184576.01
70067.64	184448.53
69872.01	184440.52
69769.08	184561.32
69573.45	184553.31
69513.32	184425.83
69415.5	184421.82
69259.26	184248.69
69264.37	184123.87
69234.37	184060.12
69136.55	184056.11
69101.42	184117.18
69096.3	184242.01
69028.5	184301.75
68866.29	184274.28
68772.74	184166.22
68674.92	184162.21
68571.99	184283.04
68475.02	184258.25
68439.9	184319.34
68434.78	184444.18
68194.55	184726.16
67998.92	184718.16
67968.91	184654.4
67982.53	184321.49
68052.79	184199.24
68110.23	183597.12
67954.01	183423.92
67790.95	183417.22
67621.04	183577.01
67615.91	183701.87
67580.78	183762.97
67482.96	183758.95
67452.96	183695.18
67463.22	183445.45
67307.01	183272.23
67271.76	183333.32
67262.35	183562.27
67227.21	183623.37
67129.4	183619.35
67026.45	183740.21
66015.62	183698.71
65922.93	183569.79
65727.3	183561.75
65634.62	183432.83
64982.48	183406.03
64888.94	183297.88
64823.7	183295.2
64638.34	183037.29
64442.71	183029.24
64349.19	182921.07
64186.12	182914.36
63877.17	182484.41
63882.32	182359.46
63759.68	182166.65
63691.85	182226.43
63676.38	182601.29
63642.1	182641.62
63485.91	182468.27
63500.52	182114.19
63377.89	181921.36
63214.83	181914.62
63028.68	181677.39
62930.86	181673.34
62622	181243.22
62627.19	181118.24
62533.7	181010
62568.36	180176.74
62876.57	179834.85
62881.79	179709.87
62819.26	179644.66
62656.2	179637.85
62553.17	179758.75
62357.54	179750.58
62264.84	179621.5
61808.44	179602.43
61714.87	179494.15
61617.93	179469.25
61494.52	179297.1
61597.56	179176.18
61616.76	178717.78
61431.63	178459.56
61441.26	178230.35
61544.33	178109.45
61553.97	177880.24
61524.03	177816.37
61328.41	177808.13
61293.1	177869.26
61278.2	178223.49
61175.13	178344.4
61145.42	179052.88
61043.24	179152.99
61038.01	179278.01
60934.97	179398.94
60929.75	179523.96
60827.58	179624.08
60802.38	180228.39
60629.78	180450.84
60620.25	180680.08
60517.24	180801.05
60512.05	180926.08
60444.21	180985.89
60414.24	180922.02
60439.35	180317.67
60644.53	180096.57
60631.95	179615.91
60837.16	179394.85
60847.62	179144.8
60949.79	179044.68
60975.13	178440.39
60635.71	177966.84
60650.62	177612.57
60788.91	177430.52
60886.83	177434.65
61025.13	177252.55
61034.81	177023.32
61004.88	176959.43
60907.07	176955.3
60813.55	176847.02
60715.73	176842.88
60613.52	176942.89
60515.7	176938.76
60484.9	176895.75
60490.18	176770.72
60696.39	176528.86
60706.11	176299.62
60582.79	176127.43
60191.43	176110.83
60089.2	176210.84
59926.25	176203.93
59823.03	176324.83
59725.21	176320.68
59622.99	176420.77
59529.59	176312.39
59170.9	176297.2
59048.47	176104.07
59063.51	175749.69
58970.12	175641.36
58975.44	175516.21
58912.85	175450.9
58815.04	175446.75
58744.48	175569.05
58451.04	175556.58
58347.91	175677.58
58184.85	175670.65
58082.62	175770.7
58020.14	175705.38
58024.56	175601.19
57994.54	175537.18
57798.92	175528.87
57558.33	175811.11
57553.91	175915.38
57517.69	175997.45
56213.45	175942.15
56120.94	175812.8
56023.13	175808.65
55963.19	175680.74
55571.94	175664.14
55478.55	175555.74
54370.83	175487.77
54340.03	175444.71
54355.1	175089.93
54262.62	174960.59
54267.95	174835.41
53836.36	174231.69
53841.7	174106.5
53748.35	173997.97
53764.41	173622.38
53641.07	173449.84
53347.63	173437.27
53244.46	173558.29
53082.29	173530.47
52926.39	173356.51
52931.75	173231.3
52838.41	173122.73
52843.78	172997.51
52813.9	172933.51
52455.23	172918.12
52023.85	172314.04
51828.22	172305.62
51735.8	172176.17
51637.99	172171.96
51608.01	172107.93
51653.95	171043.25
51757.18	170922.24
51739.99	170565.94
51586.89	170329.23
51596.86	170099.58
51504.49	169970.08
51514.47	169740.43
51392.27	169546.88
51294.46	169542.62
51191.2	169663.62
50441.28	169630.99
50381.49	169502.88
50283.68	169498.62
50180.42	169619.65
49528.31	169591.28
49343.59	169332.16
49245.67	169327.9
49185.09	169220.62
48793.85	169203.57
48701.39	169073.99
48440.63	169062.63
48348.29	168933.04
48087.42	168921.66
47994.17	168812.93
47798.55	168804.39
47613.76	168545.16
47515.95	168540.89
47300.54	168238.42
47306.03	168112.99
47408.41	168012.86
47223.77	167753.52
47260.91	167650.53
47106.11	167455.28
47008.3	167450.99
46937.66	167573.56
46875.17	167508.02
46880.67	167382.59
46849.94	167339.42
46752.94	167314.18
46689.64	167269.58
46716.27	166663.54
46655.63	166556.24
46661.15	166430.8
46413.19	166126.74
46348.97	166103
46193.3	165928.61
46198.84	165803.23
46075.74	165630.26
45814.88	165618.74
45711.53	165739.8
45613.72	165735.48
45583.92	165671.35
45595.01	165420.56
45316.38	165073.13
45321.94	164947.73
45425.31	164826.66
45435.51	164596.74
45373.05	164531.14
45307.8	164528.25
45215.56	164398.5
45117.75	164394.16
44994.81	164221.13
45000.39	164095.72
44937.93	164030.11
44840.12	164025.76
44779.53	163918.32
44584.84	163888.74
44522.5	163823.13
44527.16	163718.59
44497.27	163654.42
44236.41	163642.8
44143.26	163533.9
44046.39	163508.66
43308.74	162470.1
43314.36	162344.65
43250.99	162299.89
43185.75	162296.97
43123.42	162231.33
43129.05	162105.87
42943.74	161867.07
42981.33	161030.62
43084.79	160909.57
43100.82	160554.08
42915.47	160315.22
42931.54	159959.72
42901.81	159895.51
42804	159891.09
42774.27	159826.88
42779	159722.3
42882.49	159601.27
42855.5	159474.32
42923.58	159414.55
43021.39	159418.98
43124.89	159297.89
43221.75	159323.28
43292.68	159200.78
43488.29	159209.66
43523.81	159148.42
43529.51	159022.9
43632.06	158922.85
43602.24	158858.64
43504.43	158854.2
43412.33	158724.3
43314.52	158719.85
43192.71	158525.67
43295.27	158425.62
43203.18	158295.64
43306.7	158174.64
43311.46	158070.15
43219.38	157940.16
43225.1	157814.7
43194.33	157771.44
42900.91	157758.05
42798.33	157858.1
42700.53	157853.63
42629.56	157976.13
41781.87	157937.49
41688.83	157828.5
41526.73	157800.1
41341.62	157561.07
41146.01	157552.14
41053.93	157422.17
40890.88	157414.72
40797.85	157305.71
40602.24	157296.77
40510.17	157166.71
40412.37	157162.24
40352.86	157033.73
40255.06	157029.26
39884.9	156551.02
39820.62	156527.13
39542.55	156178.85
39445.71	156153.46
38771.68	155178.75
38673.88	155174.25
38488.87	154935
38130.22	154918.47
37855.86	155199.5
37882.65	155326.58
37814.63	155386.38
37717.78	155360.97
37614.2	155482.06
37516.4	155477.57
37445.38	155600.16
37347.58	155595.66
37317.79	155531.36
37456.93	155348.97
37554.74	155353.47
37728.38	155130.7
37826.19	155135.21
37894.21	155075.41
37866.47	154969.24
37836.8	154904.94
37734.17	155005.11
36984.18	154970.56
36923.87	154862.86
36826.07	154858.35
36734.05	154728.23
36538.44	154719.21
36508.66	154654.9
36513.49	154550.19
36549.07	154488.89
36642.04	154598.11
36837.65	154607.13
36929.66	154737.25
36994.79	154740.26
37086.92	154870.38
37738.99	154900.43
37842.59	154779.36
38038.2	154788.38
38176.3	154626.93
38182.09	154501.35
38285.7	154380.29
38312.81	153794.22
38452.02	153611.91
38647.63	153620.98
38785.76	153459.57
38797.42	153208.45
38704.47	153099.24
38716.14	152848.11
38818.81	152748
38824.66	152622.43
38892.82	152562.69
39251.48	152579.38
39355.13	152458.38
39615.98	152470.53
39683.06	152431.7
39688.91	152306.15
39724.51	152244.9
39822.31	152249.46
39857.81	152188.21
39863.66	152062.67
39930.86	152023.85
40093.9	152031.45
40301.24	151789.52
40594.65	151803.23
40654.03	151931.8
40751.83	151936.37
40843.78	152066.45
41137.19	152080.15
41172.69	152018.91
41184.41	151767.89
41061.87	151594.43
40964.06	151589.85
40842.5	151395.48
40853.28	151165.34
40955.98	151065.3
40962.85	150918.82
41032.88	150817.33
41038.77	150691.82
41105.98	150653.02
41204.77	150636.64
41343.1	150475.47
41349	150349.97
41164.1	150110.64
41170.01	149985.06
41078.12	149854.94
41126.57	149521.8
41064.29	149455.97
40966.48	149451.36
40844.89	149256.85
40849.82	149152.3
41128.47	148788.01
41098.88	148723.71
41000.08	148740.05
40878.51	148545.53
40884.46	148420.01
40791.61	148310.76
40814.43	147829.57
41021.08	147608.72
41027.04	147483.21
40935.1	147353.03
40941.07	147227.51
40910.5	147184.1
40714.89	147174.79
40612.11	147274.77
40549.85	147208.9
40566.79	146853.21
40506.65	146745.48
40512.63	146619.95
40327.9	146380.45
40333.89	146254.91
40304.32	146190.59
39815.31	146167.23
39785.63	146102.9
39796.63	145872.7
39674.28	145699.05
39577.47	145673.46
39270.43	145260.21
39276.45	145134.65
39483.1	144913.82
39489.13	144788.26
39335.25	144592.1
38878.8	144570.17
38848.13	144526.72
38854.17	144401.15
38925.45	144278.72
38963.05	144175.62
38809.19	143979.42
38743.95	143976.28
38559.44	143736.61
38266.03	143722.46
38236.38	143658.1
38340.24	143537.23
38248.5	143406.93
38283.2	143366.62
38382.01	143350.43
38484.86	143250.48
38680.47	143259.93
38716.07	143198.71
38727.19	142968.47
38697.67	142904.11
38599.86	142899.38
38495.99	143020.23
38399.2	142994.59
38214.73	142754.87
38149.49	142751.72
37994.56	142576.35
38006.72	142325.16
37977.2	142260.79
37585.88	142241.82
37514.67	142364.27
37416.87	142359.53
37354.67	142293.57
37457.55	142193.61
37469.73	141942.4
37440.22	141878.02
37342.41	141873.27
37311.77	141829.79
37317.87	141704.18
37255.79	141638.22
37157.99	141633.46
36914.45	141264.85
36810.54	141385.71
36614.94	141376.2
36585.32	141311.8
36591.43	141186.18
36529.25	141120.12
36431.45	141115.36
36372.44	140986.56
36175.81	140998.02
36054.51	140803.21
36071.87	140447.21
35980.2	140316.72
35997.59	139960.72
36100.51	139860.85
36130.24	139253.5
36037.57	139144.05
36049.9	138892.7
35987.74	138826.68
35922.62	138823.48
35829.96	138713.95
35732.16	138709.15
35702.57	138644.72
35708.74	138519.07
35779.12	138417.54
35824.05	138167.85
35895.47	138045.42
35906.82	137815.04
36009.78	137715.14
35888.71	137520.24
35693	137510.59
35589	137631.42
35491.2	137626.59
35461.73	137562.16
35467.93	137436.51
35254.24	137132.02
35156.33	137127.18
35064.74	136996.68
34966.94	136991.85
34908.02	136862.96
34809.19	136879.05
34625.91	136618.02
34528.11	136613.18
34436.53	136482.66
34370.37	136500.36
34187.1	136239.3
33991.5	136229.61
33899.93	136099.07
33834.81	136095.84
33742.09	135986.22
32894.45	135944.19
32865	135879.72
32877.48	135628.28
32693.33	135388.05
32698.53	135283.26
32668.98	135218.78
32473.39	135209.05
32370.38	135308.99
32011.74	135291.17
31948.7	135246
31954.95	135120.25
31895.97	134991.27
31869.66	134863.91
31839.07	134820.34
31579.28	134786.43
31371.17	135028.2
31175.57	135018.47
31071.51	135139.37
30973.72	135134.51
30903.27	135236.09
30805.47	135231.24
30701.42	135352.15
30049.39	135319.77
29945.34	135440.7
29782.31	135432.61
29679.31	135532.61
28733.87	135485.71
28629.83	135606.68
28466.8	135598.6
28362.76	135719.57
28264.96	135714.73
28090.5	135937.36
27894.9	135927.68
27790.87	136048.68
27432.24	136030.93
27340.66	135900.24
27145.06	135890.56
27053.5	135759.87
26890.46	135751.79
26797.86	135642.04
26504.46	135627.51
26383.34	135432.23
26394.79	135201.45
26303.23	135070.72
26320.95	134714.05
26198.94	134539.71
26102.18	134513.89
25998.12	134634.91
25737.29	134621.94
25644.7	134512.15
25546.9	134507.28
25517.36	134442.71
25491.06	134315.2
25432.09	134186.06
25437.32	134081.12
25375.33	134014.93
25016.7	133997.06
24912.63	134118.1
24652.84	134084.15
24444.7	134326.24
24249.11	134316.51
24145.04	134437.57
24047.25	134432.71
23976.79	134534.43
23878.99	134529.57
23636.12	134812.1
23727.67	134942.89
23715.18	135194.76
23612.18	135294.88
23605.94	135420.82
23537.69	135480.56
23081.26	135457.96
23045.47	135519.32
23034.04	135750.25
22965.8	135810.01
22411.57	135782.6
22308.47	135882.76
22145.54	135874.71
21973.17	136055.61
21966.95	136181.59
21932.31	136221.99
21834.4	136217.16
21741.79	136107.33
21643.99	136102.5
21401.32	136385.23
21366.16	137099.21
21457.76	137230.01
21451.57	137356
21514.74	137401.22
21579.87	137404.42
21642.01	137470.62
21635.82	137596.6
21820.09	137837.18
21785.12	138551.1
21814.71	138615.69
22010.31	138625.26
22131.43	138820.66
22120.15	139051.55
22211.8	139182.37
22206.68	139287.29
22067.1	139469.96
21871.5	139460.43
21803.19	139520.23
21798.08	139625.17
21860.25	139691.33
22055.85	139700.86
22085.34	139765.5
22079.21	139891.47
22170.88	140022.2
22165.77	140127.2
22195.38	140191.77
22488.78	140206.03
22794.35	140641.74
22765.85	141229.57
22661.95	141350.79
22638.6	141833.64
22882.2	142203.12
22877.14	142308.1
22968.87	142438.77
22951.67	142795.64
22744.96	143017.16
22771.47	143144.67
22923.41	143383.44
22894.2	143992.21
22923.75	144056.74
23021.66	144061.43
23176.55	144237.18
23170.52	144363.12
23262.29	144493.74
23257.28	144598.71
23378.72	144793.85
23443.85	144796.96
23535.75	144927.57
23926.96	144946.25
23957.51	144989.81
23945.49	145241.65
23738.88	145463.21
23760.45	145695.65
23790.13	145760.16
23887.93	145764.82
23979.74	145895.39
24044.98	145898.5
24136.79	146029.07
24332.39	146038.37
24425.2	146147.97
24587.25	146176.68
24771.88	146416.82
24869.69	146421.47
24962.51	146531.05
25158.11	146540.33
25217.37	146669.32
25706.39	146692.53
25765.65	146821.5
26156.86	146840.06
26249.69	146949.61
26347.49	146954.25
26406.76	147083.2
26504.57	147087.84
26596.41	147218.33
27150.66	147244.58
27254.42	147123.38
27352.23	147128.01
27456	147006.81
27716.84	147019.18
27819.62	146918.94
27917.42	146923.58
28298.97	146458.27
28396.78	146462.92
28499.57	146362.7
28598.36	146346.41
28701.16	146246.19
28864.2	146253.95
28957.01	146363.47
29053.82	146389.06
29176.32	146563.02
29165.36	146793.67
29286.77	146988.55
29384.57	146993.19
29539.66	147168.67
29501.02	147292.91
29592.97	147423.34
29588	147528.19
29801.29	147853.51
29996.89	147862.77
30204.41	147620.4
30563.06	147637.39
30746.76	147898.24
30845.55	147881.86
30875.25	147946.28
30863.36	148197.86
30956.21	148307.23
30950.28	148432.99
31042.14	148563.43
30997.72	149506.56
31057.05	149635.45
31045.38	150580.17
30941.69	150701.35
30935.81	150827.1
30729.43	151048.53
30723.55	151174.29
30343.39	151618.73
30304.38	152457.21
30165.14	152639.81
30067.34	152635.27
29861.03	152856.8
29567.62	152843.2
29254.78	153248.92
29216.29	153373.2
29146.31	153475.04
29140.49	153600.83
28934.23	153822.44
28928.43	153948.24
28686.6	154231.27
28490.99	154222.25
28455.53	154283.65
28449.73	154409.46
28207.94	154692.54
27653.67	154667.05
27561.66	154536.72
27463.85	154532.22
27395.72	154592.13
27389.93	154717.97
27481.95	154848.29
27477.13	154953.18
27569.16	155083.5
27558.57	155314.21
27742.76	155574.83
27737.95	155679.71
27767.64	155744.11
27865.44	155748.59
27957.49	155878.89
28055.29	155883.36
28084.98	155947.76
28080.18	156052.63
28172.34	156182.92
27688.11	156770.3
27677.6	157000.93
27800.33	157174.66
27898.13	157179.11
28019.91	157373.84
27846.49	157597.05
27840.77	157722.94
27531.06	158066.14
27526.31	158170.95
27489.94	158253.41
27393.09	158227.95
27325	158287.91
27319.29	158413.82
27283.88	158475.26
27186.07	158470.83
27083.52	158571.22
26920.48	158563.84
26748.89	158745.3
26738.46	158976.04
26496.08	159280.36
26333.04	159273.01
26162.42	159433.49
26152.03	159664.25
26244.17	159794.51
26238.5	159920.37
26330.65	160050.62
26325.93	160155.52
26510.35	160416.02
26489.65	160877.51
26386.2	160998.98
26375.87	161229.73
26272.33	161351.21
26262.01	161581.96
26226.64	161643.44
26128.83	161639.07
25921.98	161882.05
25824.17	161877.69
25721.69	161978.24
25656.45	161975.33
25588.4	162035.36
25582.79	162161.23
25547.42	162222.71
25449.61	162218.35
25382.5	162257.43
25376.9	162383.3
25469.1	162513.53
25433.74	162575.02
25335.93	162570.67
25300.57	162632.16
25263.23	162735.62
25124.47	162918.65
25026.66	162914.31
24749.98	163259.43
24652.17	163255.09
23962.94	164065.61
23865.13	164061.29
23795.25	164163.35
23697.45	164159.03
23490.72	164402.23
23393.84	164376.95
23219.69	164621.61
23121.88	164617.3
22916.1	164839.58
22818.29	164835.27
22611.6	165078.54
22448.55	165071.37
22346.13	165172.04
21889.66	165151.98
21786.32	165273.64
21492.78	165260.75
21340	165022.63
20785.72	164998.26
20718.63	165037.41
20697.43	165520.37
20662.1	165581.93
20466.38	165573.35
20189.99	165918.92
19994.38	165910.36
19926.38	165970.5
19920.86	166096.58
19885.43	166158.15
19788.54	166132.82
19695.33	166023.59
19336.66	166007.89
19234.27	166108.58
19135.54	166125.35
19065.82	166227.48
18968.01	166223.2
18761.28	166466.77
18663.47	166462.5
18561.08	166563.21
18398.14	166556.1
18305.73	166425.79
18109.19	166438.31
18079.38	166373.86
18084.88	166247.82
18022.4	166181.88
17924.59	166177.6
17750.53	166422.65
17652.72	166418.38
17468.13	166157.65
17305.08	166150.53
17027.28	165780.49
16929.47	165776.21
16837.18	165645.86
16478.52	165630.15
16375.2	165751.95
16276.47	165768.74
NA	NA
15967.72	172935.25
16462.74	173587.76
16421.94	174554.47
16515.32	174663.6
16495	175146.91
16427.11	175207.28
16329.3	175203.17
16191.87	175365.76
16254.35	175431.53
16319.6	175434.27
16474.72	175630.29
16459.75	175987.53
16552.29	176117.7
16547.89	176222.78
16480.02	176283.09
16382.21	176279
16347.01	176340.68
16337.35	176571.85
16302.05	176633.52
16204.24	176629.44
16101.17	176751.44
16003.36	176747.36
15968.17	176809.05
15920.72	177164.96
15983.23	177230.71
16081.91	177213.79
16111.96	177278.19
16096.24	177656.44
16219.63	177829.99
16415.25	177838.11
16507.83	177968.24
16605.64	177972.29
16699.09	178081.43
17155.57	178100.36
17185.64	178164.74
17175.19	178416.85
17331.18	178591.7
17606.83	178245.33
17802.45	178253.44
17832.51	178317.81
17827.29	178443.86
17889.93	178509.58
18053.74	178495.34
18120.72	178456.01
18125.94	178329.97
18161.12	178268.3
18454.66	178280.47
18514.57	178409.19
18710.19	178417.3
19019.78	178829.9
19009.36	179081.92
19101.97	179211.97
19092.44	179443.01
19185.05	179573.06
19170.35	179930.1
19263.84	180039.16
19258.66	180165.16
19288.63	180229.51
19484.36	180237.55
19587.35	180115.57
19946.03	180130.32
20132.15	180369.36
20587.78	180409.08
20690.76	180287.13
20999.52	180720.44
20995.21	180825.43
21117.95	181019.72
21378.82	181030.41
21549.51	180848.16
21553.81	180743.18
21589.08	180681.54
21784.7	180689.57
21877.34	180819.53
22040.39	180826.22
22133.9	180935.2
22338.99	180712.32
22436.8	180716.33
22507.22	180593.08
22702.84	180601.12
22805.82	180479.21
22902.77	180504.19
22937.92	180442.57
22957.79	179959.86
23060.79	179837.97
23065.11	179733.01
23203.39	179549.52
23301.2	179553.56
23393.82	179683.51
23752.49	179698.3
23845.98	179807.28
24302.46	179826.1
24395.08	179956.02
24492.89	179960.05
24595.89	179838.2
24954.57	179852.99
25021.43	179813.7
25026.63	179687.82
24840.54	179448.96
24845.74	179323.08
24948.75	179201.25
24953.09	179096.33
25056.11	178974.51
25090.92	178135.33
25193.21	178034.48
25198.44	177908.62
25105.76	177778.67
25141.06	177717.1
25238.87	177721.17
25268.81	177785.46
25259.21	178016.24
25351.79	178146.17
25248.75	178267.97
25233.95	178624.62
25390.04	178799.22
25487.85	178803.27
25522.16	178762.65
25527.38	178636.79
25630.52	178514.99
25640.1	178284.23
25778.32	178100.86
25876.13	178104.93
25910.45	178064.31
25915.68	177938.46
26018.73	177816.68
26038.84	177334.24
26244.2	177111.67
26249.46	176985.82
26351.65	176885.02
26362.18	176633.34
26268.76	176524.35
26279.31	176272.66
26093.26	176033.71
26098.54	175907.87
26201.64	175786.06
26206.05	175681.23
26309.26	175559.43
26318.97	175328.77
26422.08	175206.97
26427.38	175081.13
26333.99	174972.19
26344.62	174720.43
26188.65	174545.73
26025.6	174538.84
25963.01	174473.16
26010.77	174117.94
25918.29	173987.94
25933.41	173631.33
25840.94	173501.33
25850.73	173270.57
25758.16	173140.55
25767.98	172909.79
25582.18	172670.7
25608.13	172062.34
25577.35	172018.97
25479.54	172014.79
25357.13	171820.42
25392.49	171758.88
25588.11	171767.24
25622.47	171726.66
25633.24	171474.93
25736.44	171353.26
25761.64	170765.87
25900.24	170582.69
25997.14	170607.85
26100.36	170486.2
26198.17	170490.41
26321.33	170663.83
26286.06	170725.36
26090.45	170716.95
26055.18	170778.48
26050.67	170883.38
26110.4	171012.03
26075.14	171073.55
25977.33	171069.36
25942.06	171130.89
25926.78	171487.5
25823.47	171609.17
25818.99	171714.07
25715.8	171835.75
25705.94	172066.52
25798.37	172196.55
25777.8	172679.03
25963.7	172918.12
25948.54	173274.73
26008.33	173403.35
25998.54	173634.1
26091.01	173764.1
26085.68	173889.95
26149.14	173934.68
26246.06	173959.85
26282.18	173877.28
26286.63	173772.39
26527.38	173488.42
27081.67	173511.95
27149.59	173451.81
27154.93	173325.98
27190.17	173264.45
27287.98	173268.61
27317.87	173332.91
27312.53	173458.73
27468.46	173633.43
27729.32	173644.5
27821.79	173774.46
27919.6	173778.61
27949.61	173842.9
27914.27	173904.42
27718.65	173896.12
27626.17	173766.16
27365.31	173755.1
27272.84	173625.13
27175.03	173620.98
27071.88	173742.65
26979.41	173612.68
26620.74	173597.46
26379.22	173902.38
26374.77	174007.28
26467.25	174137.26
26461.92	174263.17
26615.11	174500.72
26590.33	175088
26652.92	175153.67
26750.73	175157.79
26810.67	175286.44
27299.71	175307.04
27402.83	175185.27
27462.77	175313.91
27560.58	175318.03
27746.49	175556.87
27844.3	175560.99
27874.33	175625.27
27869.04	175751.14
27833.71	175812.67
27735.9	175808.56
27550.87	175548.64
27453.06	175544.53
27360.54	175414.59
26837.93	175413.65
26667.82	175574.51
26622.93	176644.25
26931.5	177077.35
27029.31	177081.44
27059.25	177145.71
27049.62	177376.42
26979.23	177499.52
26973.99	177625.35
26562.55	178091.43
26558.19	178196.32
26650.77	178326.22
26646.41	178431.1
26924.29	178820.77
26919.95	178925.65
26949.91	178989.91
27047.72	178993.96
27140.32	179123.84
27303.37	179130.59
27675.53	179608.13
27772.48	179633.12
27910.77	179449.8
27920.31	179219.14
28058.5	179035.84
28254.12	179043.94
28357.15	178922.2
28422.39	178924.91
28514.99	179054.75
29264.91	179085.83
29367.93	178964.11
29465.74	178968.17
29495.81	179032.41
29490.6	179158.17
29583.2	179287.99
29578.87	179392.81
29794.05	179716.65
29990.54	179703.8
30329.31	180200.67
30687.99	180215.47
30790.99	180093.77
30985.75	180122.77
31109.32	180295.82
31104.14	180421.54
31382.9	180789.87
31378.59	180894.66
31471.23	181024.4
31466.07	181150.11
31527.01	181257.58
31516.69	181509.01
31609.35	181638.74
31605.05	181743.52
31697.72	181873.24
31662.46	181934.76
31564.65	181930.76
31324.46	182214.79
31304.78	182696.74
31335.64	182740
31433.45	182743.99
31535.54	182643.19
31796.41	182653.83
31899.35	182532.12
31997.16	182536.11
32202.31	182313.63
32300.12	182317.63
32370.39	182194.59
32468.21	182198.59
32560.88	182328.29
32658.69	182332.28
32796.89	182149.09
32703.37	182040.32
32771.18	181980.15
32966.81	181988.16
33001.95	181926.65
33016.54	181570.53
32986.56	181506.36
32595.2	181490.3
32502.54	181360.59
32404.73	181356.58
32373.89	181313.32
32384.22	181061.93
32521.49	180899.67
32619.3	180903.7
32722.28	180782.03
32820.21	180786.06
32923.19	180664.41
32988.33	180667.09
33090.45	180566.36
33286.19	180574.43
33389.18	180452.79
33486.99	180456.82
33624.28	180294.62
33630.34	180148.03
33732.47	180047.32
33752.4	179565.58
34028.02	179220.33
34032.37	179115.59
34203.25	178933.88
34233.21	178998.05
34213.23	179479.75
34111.08	179580.44
34100.68	179831.75
33998.54	179932.44
33988.15	180183.76
33747.75	180467.57
33682.62	180464.89
33409.66	180747.39
33404.49	180873.06
33301.51	180994.71
33300.53	181813
33330.63	181877.17
33428.45	181881.18
33488.43	182009.52
33684.06	182017.53
33870.36	182255.94
33968.17	182259.95
34060.85	182389.6
34125.98	182392.26
34219.51	182501
34773.93	182523.65
34911.16	182361.44
34948.87	182237.14
35018.4	182135.09
35032.98	181779.11
35135.95	181657.49
35150.57	181301.51
35355.66	181079.21
35360.84	180953.59
35463.82	180831.99
35469	180706.37
35709.39	180422.65
35739.36	180486.8
35729.87	180717.12
35454.34	181062.33
35444	181313.57
35341.89	181414.26
35326.42	181791.14
35357.38	181834.38
35553	181842.4
35645.67	181972.03
36102.16	181990.74
36205.12	181869.14
36465.99	181879.84
36635.81	181719.04
36640.97	181593.44
36779.2	181410.42
36876.15	181435.34
36979.12	181313.78
37142.18	181320.48
37245.16	181198.92
37342.97	181202.95
37583.23	180919.31
37588.4	180793.74
37655.38	180754.54
37721.48	180736.33
37926.61	180514.17
38285.29	180528.98
38455.15	180368.28
38480.26	179761.42
38582.52	179660.82
38569.81	179178.17
38509.79	179049.9
38544.65	178212.84
38579.95	178151.43
38609.89	178215.56
38637.33	178342.47
38975.85	178838.69
38940.67	178900.11
38842.86	178896.04
38672.84	179056.68
38618.21	180375.02
38240.52	180820.62
38235.35	180946.18
38265.44	181010.31
38363.25	181014.33
38425.8	181079.79
38358.94	181118.99
38000.26	181104.22
37897.28	181225.76
37799.46	181221.73
37523.97	181566.81
37328.34	181558.78
37234.83	181450.08
36973.96	181439.36
36836.59	181601.48
36960.21	181774.31
37024.59	181797.9
37118.11	181906.59
37313.74	181914.61
37406.4	182044.2
37504.21	182048.21
37564.31	182176.45
37662.12	182180.46
37818.21	182354.58
37813.07	182480.15
37936.72	182652.93
38033.67	182677.83
38136.62	182556.27
38201.87	182558.94
38264.43	182624.38
38059.4	182846.6
38055.12	182951.26
38270.62	183274.47
38368.43	183278.46
38461.13	183408.07
38656.75	183416.04
38691.88	183354.52
38697	183228.98
38732.24	183167.54
38887.62	183362.5
38717.74	183523.27
38652.49	183520.61
38584.69	183580.73
38575.32	183810.92
38638.01	183876.35
38801.07	183882.98
38893.78	184012.5
38991.59	184016.47
39094.51	183894.91
39909.69	183928.07
39977.49	183867.96
39996.24	183407.69
39903.54	183278.19
39908.66	183152.67
39943.79	183091.24
40099.17	183286.17
40084.67	183641.81
40114.68	183705.89
40212.5	183709.88
40658.6	183183.28
40662.87	183078.68
40698	183017.26
40795.81	183021.25
40826.67	183064.44
40756.41	183187.27
40718.61	183311.44
40648.36	183434.28
40644.1	183538.89
40576.29	183598.98
40478.48	183594.99
40238.25	183878.57
40223.8	184234.2
40316.51	184363.68
40311.42	184489.26
40374.12	184554.66
41026.24	184581.11
41096.58	184458.19
41194.4	184462.16
41297.3	184340.65
41492.93	184348.59
41739.38	184714.72
41837.19	184718.68
41929.92	184848.12
42125.54	184856.05
42263.67	184673.14
42267.91	184568.64
42303.02	184507.16
42400.84	184511.13
42430.96	184575.26
42459.29	184681.08
42185.7	184984.22
41729.2	184965.73
41636.48	184836.23
40919.11	184807.16
40816.21	184928.76
40718.39	184924.8
40683.28	184986.23
40664.68	185446.37
40494.02	185628.1
40396.2	185624.15
40366.17	185560.09
40469.05	185438.46
40478.35	185208.42
