North	East
14421.42	86918.52
14411.59	87086.81
14505.69	87155.62
14502	87218.72
14533.45	87241.63
14631.23	87247.34
14665.01	87228.23
14676.07	87038.95
14777.54	86981.49
14716.11	86914.59
14685.9	86870.67
14787.37	86813.29
14791.06	86750.19
14857.52	86732.93
NA	NA
12605.8	86643.54
12703.69	86649.26
12860.45	86764
12850.61	86932.33
12783.04	86970.56
12685.26	86964.85
12560.95	86852.01
12570.78	86683.74
12605.8	86643.54
NA	NA
16321.93	86860.78
16540.22	87042.34
16536.54	87105.41
16631.87	87153.2
16624.5	87279.34
16590.71	87298.44
16492.93	87292.73
16273.4	87132.25
16286.91	86900.95
16321.93	86860.78
NA	NA
12512.42	87123.68
12577.54	87127.48
12735.64	87221.2
12731.95	87284.32
12856.27	87397.08
13160.67	87224.84
13222.22	87291.76
13320	87297.46
13383.89	87322.35
13334.15	87614.99
13197.69	87712.53
13103.58	87643.72
12842.78	87628.53
12707.43	87705.13
12703.75	87768.25
12535.84	87842.89
12372.94	87833.41
12247.38	87741.67
12268.23	87383.95
12337.14	87324.63
12343.27	87219.4
12512.42	87123.68
NA	NA
8597.04	86958.65
8694.83	86964.35
8758.82	86989.26
8747.78	87178.75
8579.86	87253.45
8482.07	87247.76
8450.74	87224.83
8461.79	87035.32
8597.04	86958.65
NA	NA
11759.02	87143.07
11856.81	87148.77
11888.13	87171.76
11877.09	87361.15
11843.31	87380.27
11744.3	87395.59
11714.08	87351.64
11725.12	87162.25
11759.02	87143.07
NA	NA
7774.74	87037.48
7872.52	87043.18
7934.06	87110.16
8130.86	87100.52
8161.07	87144.56
8189.95	87209.63
8345.6	87345.47
8341.92	87408.64
8405.81	87433.46
8576.18	87316.62
8673.96	87322.32
8736.74	87368.25
8734.28	87410.38
8764.39	87454.34
8862.18	87460.03
8893.62	87483.04
8886.26	87609.37
8784.8	87666.84
8781.13	87730
8747.24	87749.13
8649.45	87743.45
8615.67	87762.66
8608.32	87888.99
8702.43	87957.84
8688.97	88189.47
8621.3	88227.75
8523.52	88222.07
8353.17	88339.01
8256.61	88312.23
8192.71	88287.42
8196.38	88224.24
8164.94	88201.24
8067.15	88195.56
8033.37	88214.78
8029.7	88277.95
7792.91	88412.09
7695.13	88406.41
7593.68	88463.92
7468.22	88372.14
7471.89	88308.96
7314.99	88194.17
7248.54	88211.42
7185.87	88165.57
7189.54	88102.39
7095.42	88033.52
7105.21	87865.01
7273.01	87790.18
7339.46	87772.94
7433.57	87841.8
7601.48	87767.07
7572.6	87701.99
7638.94	87684.67
7899.74	87699.84
7967.41	87661.57
7777.97	87544.87
7785.32	87418.52
7597.11	87280.78
7603.24	87175.46
7704.71	87117.97
7708.39	87054.8
7774.74	87037.48
NA	NA
16073.57	87753.52
16366.93	87770.62
16586.47	87931.14
16579.12	88057.28
16673.34	88126.06
16659.88	88357.35
16558.31	88414.72
16550.97	88540.87
16517.19	88559.97
16419.41	88554.29
16317.95	88611.67
16122.39	88600.3
16088.49	88619.48
16081.16	88745.63
16175.39	88814.4
16161.95	89045.71
15992.84	89141.4
15928.83	89116.54
15827.39	89173.94
15631.82	89162.59
15596.82	89202.78
15590.72	89307.95
15684.84	89376.7
15638.76	89606.13
15502.33	89703.67
15404.55	89698.01
15370.66	89717.19
15367	89780.28
15130.35	89914.25
15032.57	89908.59
14931.13	89966.02
14768.12	89956.59
14673.98	89887.84
14478.41	89876.52
14384.28	89807.76
14221.27	89798.32
14119.83	89855.76
14022.05	89850.1
13920.61	89907.55
13795.02	89815.88
13812.08	89521.37
13717.95	89452.6
13728.92	89263.29
13415.21	89033.98
13317.42	89028.31
13285.97	89005.4
13260.74	88877.29
13428.64	88802.55
13689.44	88817.69
13790.89	88760.27
13888.67	88765.95
14125.35	88631.98
14129.02	88568.88
14264.36	88492.28
14459.93	88503.65
14554.05	88572.43
14651.83	88578.11
14745.95	88646.89
14814.85	88587.59
14908.96	88656.36
15006.75	88662.05
15108.2	88604.64
15205.99	88610.32
15342.44	88512.8
15355.89	88281.46
15457.35	88224.06
15461.02	88160.98
15494.92	88141.8
15592.7	88147.5
15659.15	88130.29
15662.83	88067.21
15799.29	87969.64
15897.08	87975.33
15930.86	87956.23
15934.54	87893.15
16036	87835.77
16039.67	87772.69
16073.57	87753.52
NA	NA
7297.52	87368.94
7362.74	87372.74
7426.74	87397.65
7419.39	87524.01
7352.94	87541.25
7255.15	87535.56
7223.82	87512.63
7231.17	87386.26
7297.52	87368.94
NA	NA
13393.26	87723.93
13491.04	87729.62
13616.48	87821.41
13609.13	87947.62
13575.35	87966.74
13379.78	87955.36
13348.33	87932.44
13359.36	87743.11
13393.26	87723.93
NA	NA
12528.49	87969.13
12626.39	87974.83
12784.39	88068.52
12777.04	88194.75
12609.25	88269.41
12483.69	88177.69
12493.48	88009.34
12528.49	87969.13
NA	NA
6955.19	88194.39
7052.97	88200.07
7084.42	88223.08
7077.08	88349.45
7043.19	88368.59
6945.41	88362.91
6915.29	88318.95
6921.41	88213.61
6955.19	88194.39
NA	NA
9006.44	88355.76
9130.67	88468.62
9124.56	88573.91
9056.89	88612.19
8932.65	88499.4
8938.77	88394.11
9006.44	88355.76
NA	NA
8513.74	88390.54
8709.31	88401.89
8739.53	88445.92
8718.77	88803.88
